unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
U01,U01_Q01_source,Which source backbone maps to U01 - Vital Signs I: Measurement Foundations?,multichoice,Module 10 - Vital Signs,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U01 is mapped to Module 10 - Vital Signs within the 12 unit x 2 hour CNA course.,easy,Module 10 - Vital Signs
U01,U01_Q02_priority,A CNA encounters new fever with behavior change and reported pain. What is the best action?,multichoice,wait until the end of shift,"measure as assigned, report promptly, and document factual observations",diagnose infection or decide medication needs,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 10 - Vital Signs
U01,U01_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,diagnose infection or decide medication needs,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 10 - Vital Signs
U01,U01_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,Oral temperature 100.8 F at 0730; resident states right knee pain 6/10; nurse notified.,D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 10 - Vital Signs
U01,U01_Q05_term,What does Afebrile mean in this unit?,multichoice,a certificate approval number,without fever,a clinical skill checkoff,a copied source page,B,Afebrile means without fever.,easy,Module 10 - Vital Signs
U01,U01_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,"sorting objective observations, reportable findings, and diagnostic wording",skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 10 - Vital Signs
U01,U01_Q07_completion,What evidence should Moodle retain for U01?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 10 - Vital Signs
U01,U01_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 10 - Vital Signs
U01,U01_Q09_scenario,"In the scenario for U01, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"measure as assigned, report promptly, and document factual observations",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 10 - Vital Signs
U01,U01_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 10 - Vital Signs
U02,U02_Q01_source,Which source backbone maps to U02 - Vital Signs II: Reporting and Abnormal Findings?,multichoice,Module 10 - Vital Signs,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U02 is mapped to Module 10 - Vital Signs within the 12 unit x 2 hour CNA course.,easy,Module 10 - Vital Signs
U02,U02_Q02_priority,A CNA encounters labored respirations with cyanosis and shortness-of-breath statement. What is the best action?,multichoice,wait until the end of shift,"stay with the resident as safe, notify the nurse/emergency chain, and report measured facts",wait until end of shift to chart because the resident walked recently,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 10 - Vital Signs
U02,U02_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,wait until end of shift to chart because the resident walked recently,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 10 - Vital Signs
U02,U02_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,Respirations 26 and labored after bathroom; resident states cannot catch breath; lips bluish; nurse notified.,D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 10 - Vital Signs
U02,U02_Q05_term,What does Dyspnea mean in this unit?,multichoice,a certificate approval number,difficult or labored breathing,a clinical skill checkoff,a copied source page,B,Dyspnea means difficult or labored breathing.,easy,Module 10 - Vital Signs
U02,U02_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,choosing urgent escalation and factual reporting language,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 10 - Vital Signs
U02,U02_Q07_completion,What evidence should Moodle retain for U02?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 10 - Vital Signs
U02,U02_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 10 - Vital Signs
U02,U02_Q09_scenario,"In the scenario for U02, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"stay with the resident as safe, notify the nurse/emergency chain, and report measured facts",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 10 - Vital Signs
U02,U02_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 10 - Vital Signs
U03,U03_Q01_source,Which source backbone maps to U03 - Nutrition and Hydration?,multichoice,Module 11 - Nutrition,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U03 is mapped to Module 11 - Nutrition within the 12 unit x 2 hour CNA course.,easy,Module 11 - Nutrition
U03,U03_Q02_priority,A CNA encounters coughing or wet voice during a meal for a resident with thickened liquids. What is the best action?,multichoice,wait until the end of shift,"pause feeding as appropriate, keep the resident safe, report signs, and follow the ordered diet",change the diet order or offer thin water because the resident asks,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 11 - Nutrition
U03,U03_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,change the diet order or offer thin water because the resident asks,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 11 - Nutrition
U03,U03_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,Resident coughed twice after sip at lunch; wet voice noted; nurse notified; nectar-thick order followed.,D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 11 - Nutrition
U03,U03_Q05_term,What does Dysphagia mean in this unit?,multichoice,a certificate approval number,difficulty swallowing,a clinical skill checkoff,a copied source page,B,Dysphagia means difficulty swallowing.,easy,Module 11 - Nutrition
U03,U03_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,sequencing safe feeding assistance and aspiration-risk reporting,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 11 - Nutrition
U03,U03_Q07_completion,What evidence should Moodle retain for U03?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 11 - Nutrition
U03,U03_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 11 - Nutrition
U03,U03_Q09_scenario,"In the scenario for U03, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"pause feeding as appropriate, keep the resident safe, report signs, and follow the ordered diet",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 11 - Nutrition
U03,U03_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 11 - Nutrition
U04,U04_Q01_source,Which source backbone maps to U04 - Emergency Procedures?,multichoice,Module 12 - Emergency Procedures,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U04 is mapped to Module 12 - Emergency Procedures within the 12 unit x 2 hour CNA course.,easy,Module 12 - Emergency Procedures
U04,U04_Q02_priority,A CNA encounters inability to speak or cough effectively while grasping the throat. What is the best action?,multichoice,wait until the end of shift,activate help immediately and follow facility emergency procedure,wait quietly to see whether a complete airway obstruction resolves,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 12 - Emergency Procedures
U04,U04_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,wait quietly to see whether a complete airway obstruction resolves,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 12 - Emergency Procedures
U04,U04_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,Resident unable to speak or cough effectively during dinner; emergency response activated; nurse notified.,D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 12 - Emergency Procedures
U04,U04_Q05_term,What does Cyanosis mean in this unit?,multichoice,a certificate approval number,bluish discoloration that can signal low oxygen,a clinical skill checkoff,a copied source page,B,Cyanosis means bluish discoloration that can signal low oxygen.,easy,Module 12 - Emergency Procedures
U04,U04_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,selecting immediate escalation and recognizing no-certification boundaries,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 12 - Emergency Procedures
U04,U04_Q07_completion,What evidence should Moodle retain for U04?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 12 - Emergency Procedures
U04,U04_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 12 - Emergency Procedures
U04,U04_Q09_scenario,"In the scenario for U04, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,activate help immediately and follow facility emergency procedure,post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 12 - Emergency Procedures
U04,U04_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 12 - Emergency Procedures
U05,U05_Q01_source,Which source backbone maps to U05 - Long Term Care Patient/Resident I: Resident-Centered Care?,multichoice,Module 13 - Long Term Care Patient/Resident,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U05 is mapped to Module 13 - Long Term Care Patient/Resident within the 12 unit x 2 hour CNA course.,easy,Module 13 - Long Term Care Patient/Resident
U05,U05_Q02_priority,A CNA encounters new skin redness with reduced appetite and activity change. What is the best action?,multichoice,wait until the end of shift,"compare to baseline, report objective changes, and continue care-plan support",dismiss changes as just old age or diagnose depression,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 13 - Long Term Care Patient/Resident
U05,U05_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,dismiss changes as just old age or diagnose depression,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 13 - Long Term Care Patient/Resident
U05,U05_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,"Resident stayed in bed for third morning, ate 25 percent breakfast, moved slower than usual, and has new tailbone redness; nurse notified.",D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 13 - Long Term Care Patient/Resident
U05,U05_Q05_term,What does Baseline mean in this unit?,multichoice,a certificate approval number,the resident's usual condition or pattern used for comparison,a clinical skill checkoff,a copied source page,B,Baseline means the resident's usual condition or pattern used for comparison.,easy,Module 13 - Long Term Care Patient/Resident
U05,U05_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,separating person-centered observations from diagnoses and labels,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 13 - Long Term Care Patient/Resident
U05,U05_Q07_completion,What evidence should Moodle retain for U05?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 13 - Long Term Care Patient/Resident
U05,U05_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 13 - Long Term Care Patient/Resident
