module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
"M06","M06_Q01_TRANSITION_RISK_72_HOUR","A fictional patient is home 48 hours after hospitalization for pneumonia. Which finding creates the highest transition risk for the RN case manager to address first?","multiple_choice","The patient reports worsening shortness of breath and the ordered oxygen has not been delivered.","The patient prefers an afternoon follow-up appointment instead of a morning appointment.","The caregiver asks for a printed copy of the medication schedule.","The discharge packet includes both diet instructions and activity instructions.","A","Worsening respiratory symptoms plus missing ordered oxygen is an immediate transition safety concern that requires prompt coordination and escalation, not routine follow-up.","application","transition risk"
"M06","M06_Q02_MEDICATION_DISCREPANCY","During discharge follow-up, the caregiver says the patient is taking a medication that the discharge instructions list as stopped. What is the best RN case-management action?","multiple_choice","Tell the caregiver to continue all home medications until the next appointment.","Compare the discharge instructions with current use, assess risk, contact the appropriate provider or pharmacy for clarification, and document the discrepancy.","Delete the stopped medication from the patient's list without contacting anyone.","Advise the caregiver that medication issues are outside transition planning.","B","Medication discrepancies during transition require reconciliation, clarification through the appropriate source, risk assessment, and documentation; the RN does not independently change orders.","application","medication changes"
"M06","M06_Q03_APPOINTMENT_TRANSPORT","A follow-up appointment is scheduled within seven days, but the patient has no transportation and reports limited stamina. Which response best supports continuity of care?","multiple_choice","Document that the appointment exists and close the follow-up item.","Tell the patient to call back after missing the appointment.","Confirm appointment details, identify transportation resources or referral options, and escalate if the barrier remains unresolved for the patient's risk level.","Cancel the appointment so the patient is not marked as a no-show.","C","An appointment supports transition safety only if the patient can attend it; transportation barriers should be connected to care continuity and closed-loop follow-up.","application","appointment coordination"
"M06","M06_Q04_OXYGEN_DELIVERY","A discharge order includes nocturnal oxygen, but the vendor has not delivered equipment. Which documentation statement is most accurate?","multiple_choice","Oxygen order complete because it appears in discharge paperwork.","Oxygen issue deferred because vendors handle all equipment independently.","Patient instructed to buy oxygen equipment privately if needed.","Oxygen ordered but not delivered; vendor contacted, patient-care risk assessed, and escalation initiated per policy due to unresolved equipment barrier.","D","The note should distinguish an order from verified delivery and should show risk assessment, vendor contact, escalation, and unresolved barrier status.","application","equipment and supplies"
"M06","M06_Q05_CAREGIVER_TEACHBACK","Which caregiver teaching outcome best shows that discharge instructions were understood?","multiple_choice","The caregiver explains warning signs, medication timing, who to call, and when follow-up is scheduled using teach-back.","The caregiver nods while the RN reads the discharge summary aloud.","The caregiver says the hospital already explained everything.","The caregiver receives a packet and says there are no questions.","A","Teach-back confirms practical understanding better than passive agreement and helps the RN identify teaching gaps that may affect transition safety.","foundational","caregiver teaching"
"M06","M06_Q06_HOME_SAFETY_STAIRS","A patient discharged after a fall reports sleeping upstairs but cannot climb stairs safely. What should the RN case manager do first?","multiple_choice","Assume the patient will adapt once home routines resume.","Assess the functional safety risk, coordinate appropriate supports or referrals, and escalate if the home setup prevents safe care.","Tell the patient to remain upstairs until the next appointment.","Document the concern only if the patient requests equipment.","B","A home setup that prevents safe mobility is a transition risk requiring assessment, coordination, and possible escalation rather than passive documentation.","application","home safety"
"M06","M06_Q07_COMMUNITY_RESOURCE_LINKAGE","Which community-resource action best fits RN case management during transition planning?","multiple_choice","Give a generic list of agencies without connecting them to patient needs.","Choose the resource that is easiest for staff to document.","Link transportation, meal, caregiver, or medication-assistance resources to specific barriers affecting health continuity and verify the next step when possible.","Delay resource referrals until after the entire course of treatment is complete.","C","Community resources should be selected because they reduce barriers that affect care continuity, safety, or treatment access during the transition.","application","community resources"
"M06","M06_Q08_ESCALATION_UNRESOLVED","A pharmacy cannot fill a new antibiotic until next week, and the patient was discharged after an infection. What is the best escalation decision?","multiple_choice","Wait for the routine follow-up appointment because the prescription was sent.","Tell the patient to use leftover antibiotics from a prior illness.","Document medication unavailable and close the transition call.","Contact the appropriate provider or pharmacy pathway promptly, communicate the access barrier and infection-related risk, and document the escalation and pending outcome.","D","An unavailable essential medication after infection-related discharge can create near-term clinical risk and requires prompt clarification or escalation.","application","escalation"
"M06","M06_Q09_DOCUMENTATION_PENDING_ITEMS","Which transition documentation entry best supports continuity and audit review?","multiple_choice","Caregiver taught inhaler schedule using teach-back; new inhaler unavailable at pharmacy; provider office contacted at 1430; response pending; follow-up call planned tomorrow.","Handled discharge issues and patient aware.","Medication problem noted but details pending after chart review.","Patient has several needs and will call if concerned.","A","The best entry is factual, time-linked, specific about teaching and discrepancy, identifies who was contacted, and states the pending follow-up plan.","application","transition documentation"
"M06","M06_Q10_CLOSED_LOOP_FOLLOWUP","What does closed-loop follow-up mean in M06 transition coordination?","multiple_choice","Sending one message and assuming the receiving party will act.","Confirming receipt or outcome when needed, tracking pending items, and documenting alternate plans when the first plan does not resolve the barrier.","Waiting until every barrier is solved before documenting anything.","Documenting only barriers that are already fully resolved.","B","Closed-loop follow-up requires confirmation, tracking, and documentation of pending or alternate actions so unresolved transition risks are not hidden.","foundational","72-hour follow-up"
"M06","M06_Q11_PROVIDER_SCOPE_BOUNDARY","Which action stays within RN case-management scope when discharge medication instructions conflict?","multiple_choice","Independently discontinue the medication that seems least important.","Tell the patient to ignore the discharge list and follow memory of old instructions.","Assess the discrepancy, teach within available instructions, contact the authorized prescriber or pharmacy for clarification, and document the outcome.","Promise that the payer will approve a replacement medication today.","C","The RN case manager identifies and communicates the discrepancy but does not independently prescribe, discontinue, or promise approval outcomes.","foundational","RN scope"
"M06","M06_Q12_EQUIPMENT_ORDER_VS_DELIVERY","Which statement best distinguishes equipment ordered from equipment available?","multiple_choice","If discharge paperwork lists equipment, the patient has what is needed.","Vendor paperwork is enough evidence that the patient can use the equipment.","Equipment delays do not require RN follow-up unless the patient complains twice.","Equipment is available only when delivery, setup, patient or caregiver understanding, and any safety concerns have been verified or addressed.","D","Transition safety depends on actual delivery, setup, usability, and teaching; a written order alone does not prove the barrier is resolved.","foundational","equipment verification"
