module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
M01,M01_Q01_RN_SCOPE_BOUNDARIES,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects RN scope boundaries for an RN case manager in this course?,multiple_choice,Coordinates care using nursing assessment findings and does not independently diagnose new medical conditions,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because coordinates care using nursing assessment findings and does not independently diagnose new medical conditions. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,RN scope boundaries
M01,M01_Q02_INDIRECT_PATIENT_CARE,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects indirect patient care for an RN case manager in this course?,multiple_choice,"Can include referral follow-up, education coordination, and communication that supports safe patient outcomes",Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because can include referral follow-up, education coordination, and communication that supports safe patient outcomes. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,indirect patient care
M01,M01_Q03_PATIENT_CENTERED_PLANNING,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects patient-centered planning for an RN case manager in this course?,multiple_choice,"Starts with the patient's clinical risks, preferences, functional needs, and measurable goals",Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because starts with the patient's clinical risks, preferences, functional needs, and measurable goals. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,patient-centered planning
M01,M01_Q04_ESCALATION,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects escalation for an RN case manager in this course?,multiple_choice,Is required when assessment findings suggest a change in condition or an unresolved safety risk,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because is required when assessment findings suggest a change in condition or an unresolved safety risk. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,escalation
M01,M01_Q05_ROLE_CLARITY,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects role clarity for an RN case manager in this course?,multiple_choice,"Prevents the RN from substituting payer, vendor, or business priorities for patient care needs",Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because prevents the RN from substituting payer, vendor, or business priorities for patient care needs. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,role clarity
M01,M01_Q06_CASE_MANAGEMENT_PLAN,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects case management plan for an RN case manager in this course?,multiple_choice,"Links assessment findings to nursing interventions, referrals, teaching, and follow-up time frames",Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because links assessment findings to nursing interventions, referrals, teaching, and follow-up time frames. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",applied,case management plan
M01,M01_Q07_INTERDISCIPLINARY_PRACTICE,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects interdisciplinary practice for an RN case manager in this course?,multiple_choice,Uses timely communication with providers and team members while preserving nursing accountability,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because uses timely communication with providers and team members while preserving nursing accountability. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",applied,interdisciplinary practice
M01,M01_Q08_PROFESSIONAL_ACCOUNTABILITY,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects professional accountability for an RN case manager in this course?,multiple_choice,"Requires the RN to act within law, policy, competence, and documented patient need",Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because requires the RN to act within law, policy, competence, and documented patient need. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",applied,professional accountability
M01,M01_Q09_ADVOCACY,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects advocacy for an RN case manager in this course?,multiple_choice,Means raising patient barriers and safety concerns through appropriate channels,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because means raising patient barriers and safety concerns through appropriate channels. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",applied,advocacy
M01,M01_Q10_CARE_COORDINATION_EVIDENCE,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects care coordination evidence for an RN case manager in this course?,multiple_choice,"Includes dated notes, communications, referrals, education, and follow-up outcomes",Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because includes dated notes, communications, referrals, education, and follow-up outcomes. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",applied,care coordination evidence
M01,M01_Q11_ADULT_LEARNING_ACTIVITY,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects adult learning activity for an RN case manager in this course?,multiple_choice,Should ask the learner to apply scope rules to realistic patient-care decisions,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because should ask the learner to apply scope rules to realistic patient-care decisions. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",applied,adult learning activity
M01,M01_Q12_APPROVAL_STATUS,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects approval status for an RN case manager in this course?,multiple_choice,Must remain pending until BRN CEP approval and provider metadata are available,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because must remain pending until BRN CEP approval and provider metadata are available. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",advanced,approval status
M01,M01_Q13_CONTACT_HOUR_LANGUAGE,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects contact-hour language for an RN case manager in this course?,multiple_choice,Uses contact hours as the primary measurement for this package,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because uses contact hours as the primary measurement for this package. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",advanced,contact-hour language
M01,M01_Q14_RN_JUDGMENT,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects RN judgment for an RN case manager in this course?,multiple_choice,Is demonstrated by prioritizing risks and selecting appropriate coordination actions,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because is demonstrated by prioritizing risks and selecting appropriate coordination actions. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",advanced,RN judgment
M01,M01_Q15_COMPLETION_EVIDENCE,M01 - Foundations of RN Case Management and Nursing Scope: Which answer best reflects completion evidence for an RN case manager in this course?,multiple_choice,"Comes from Moodle activity completion, quiz results, attestation, and timestamped submissions",Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because comes from Moodle activity completion, quiz results, attestation, and timestamped submissions. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",advanced,completion evidence
M02,M02_Q01_INTAKE_SOURCE_VALIDATION,"M02 - Assessment, Intake, and Patient-Centered Care Planning: Which answer best reflects intake source validation for an RN case manager in this course?",multiple_choice,"Compares referral data with patient, caregiver, medication, and record information",Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because compares referral data with patient, caregiver, medication, and record information. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,intake source validation
M02,M02_Q02_RISK_PRIORITIZATION,"M02 - Assessment, Intake, and Patient-Centered Care Planning: Which answer best reflects risk prioritization for an RN case manager in this course?",multiple_choice,Places immediate safety and change-in-condition concerns ahead of routine preferences,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because places immediate safety and change-in-condition concerns ahead of routine preferences. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,risk prioritization
M02,M02_Q03_PATIENT_CENTERED_GOALS,"M02 - Assessment, Intake, and Patient-Centered Care Planning: Which answer best reflects patient-centered goals for an RN case manager in this course?",multiple_choice,Include what matters to the patient and are written in measurable language,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because include what matters to the patient and are written in measurable language. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,patient-centered goals
M02,M02_Q04_SOCIAL_DETERMINANTS,"M02 - Assessment, Intake, and Patient-Centered Care Planning: Which answer best reflects social determinants for an RN case manager in this course?",multiple_choice,"Are included when they affect access, adherence, safety, or care transitions",Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because are included when they affect access, adherence, safety, or care transitions. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,social determinants
M02,M02_Q05_HEALTH_LITERACY,"M02 - Assessment, Intake, and Patient-Centered Care Planning: Which answer best reflects health literacy for an RN case manager in this course?",multiple_choice,Requires communication that the patient can understand and use,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because requires communication that the patient can understand and use. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",foundational,health literacy
M02,M02_Q06_OBJECTIVE_DOCUMENTATION,"M02 - Assessment, Intake, and Patient-Centered Care Planning: Which answer best reflects objective documentation for an RN case manager in this course?",multiple_choice,Separates observed or reported facts from interpretation,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because separates observed or reported facts from interpretation. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",applied,objective documentation
M02,M02_Q07_MISSING_INFORMATION,"M02 - Assessment, Intake, and Patient-Centered Care Planning: Which answer best reflects missing information for an RN case manager in this course?",multiple_choice,Should be tracked with a follow-up owner and due date,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because should be tracked with a follow-up owner and due date. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",applied,missing information
M02,M02_Q08_MEDICATION_RISK,"M02 - Assessment, Intake, and Patient-Centered Care Planning: Which answer best reflects medication risk for an RN case manager in this course?",multiple_choice,Requires reconciliation questions and escalation of discrepancies,Treat the issue as an administrative task only and avoid connecting it to patient-care risk.,"Promise the patient, payer, or family that the requested outcome will be approved.",Delay documentation until all uncertainties are resolved and no follow-up remains.,A,"Answer A is correct because requires reconciliation questions and escalation of discrepancies. The other options either remove the RN case management link to patient care, promise an outcome outside the RN role, or create unsafe documentation practice.",applied,medication risk
