course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
RCFE-CETP-001,RCFE-CETP-001_Q001,Which administrator action best supports Title 22 in RCFE-CETP-001?,multichoice,"Apply the approved procedure, document the action objectively, and escalate when the issue exceeds routine authority.",Wait until a licensing visit identifies the problem.,Rely on memory and avoid creating a record.,Make a public assurance before the facts are verified.,A,"The administrator's role is to use approved controls, create objective evidence, and escalate unresolved risk. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q002,A learner sees a scenario involving Health and Safety Code. What is the safest first step?,multichoice,"Pause to verify the relevant source, resident need, or facility policy before taking action.",Assume the usual practice is always current.,Ask staff to handle it without documentation.,Advertise the course or service as approved before approval is issued.,A,"Source-checking and policy confirmation prevent inaccurate action and premature claims. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q003,Which documentation entry is most defensible for Community Care Licensing?,multichoice,"Objective facts, action taken, notification or escalation, and follow-up plan.",Personal opinions about the resident or staff member.,A note that says the issue was handled with no details.,A promise that the facility can guarantee an outcome.,A,"Objective documentation supports continuity, supervision, and regulatory review. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q004,"When Plan of Correction raises uncertainty, what should the administrator do?",multichoice,Use the escalation pathway and label unresolved details as pending verification.,Ignore the uncertainty if the course is already scheduled.,Let learners decide the regulatory answer by vote.,Remove the issue from the record.,A,"Uncertain regulatory or operational questions should be escalated and tracked rather than guessed. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q005,Which choice would create the greatest compliance risk for mandated reporting?,multichoice,"Claiming approval, credit, or guaranteed outcomes before the required facts are issued or verified.",Keeping a dated record of the decision.,Asking Compliance to review the item.,Using a fictional scenario for training.,A,"Premature claims and guarantees can mislead learners, residents, families, or regulators. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q006,What evidence should Moodle retain for an activity about personal rights?,multichoice,"Completion status, timestamp, response or submission, score when applicable, and learner identity evidence.",Only the learner's name.,Only a screenshot kept outside the course.,No evidence if the learner attended live.,A,"Moodle evidence must substantiate duration, participation, assessment, and completion decisions. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q007,How should an instructor respond when a participant answers incorrectly about complaint procedure?,multichoice,Provide corrective feedback tied to the course standard and require retry or remediation if needed.,Mark the learner complete without feedback.,Change the answer key during the session.,Tell the learner the topic is optional.,A,"Active learning requires feedback that corrects misunderstanding and preserves assessment integrity. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q008,Which statement best fits the administrator scope for recordkeeping?,multichoice,"Oversee policy, records, staff direction, communication, and escalation within RCFE responsibilities.",Perform unrelated clinical or legal services beyond the course scope.,Guarantee a resident outcome.,Substitute informal preference for approved procedure.,A,"The RCFE administrator scope is operational oversight and escalation, not overclaiming or unsourced practice. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q009,What should happen before completion credit is issued for public approval claim?,multichoice,"Required duration, participation checks, post-test pass, evaluation when required, and approval metadata must be satisfied.",Completion should issue after opening the first page.,The instructor may waive failed assessments without record.,A certificate may issue while approval is pending.,A,"Completion and certificate release require all required gates and approval metadata. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q010,Why is a fictional scenario appropriate for practicing policy review?,multichoice,"It lets learners apply judgment without exposing resident, staff, facility, or protected information.",It replaces the need for assessment.,It allows learners to ignore facility policy.,It proves government approval.,A,"Fictional scenarios support application practice while protecting privacy and avoiding false approval claims. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q011,Which administrator action best supports Title 22 in RCFE-CETP-001?,multichoice,"Apply the approved procedure, document the action objectively, and escalate when the issue exceeds routine authority.",Wait until a licensing visit identifies the problem.,Rely on memory and avoid creating a record.,Make a public assurance before the facts are verified.,A,"The administrator's role is to use approved controls, create objective evidence, and escalate unresolved risk. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q012,A learner sees a scenario involving Health and Safety Code. What is the safest first step?,multichoice,"Pause to verify the relevant source, resident need, or facility policy before taking action.",Assume the usual practice is always current.,Ask staff to handle it without documentation.,Advertise the course or service as approved before approval is issued.,A,"Source-checking and policy confirmation prevent inaccurate action and premature claims. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q013,Which documentation entry is most defensible for Community Care Licensing?,multichoice,"Objective facts, action taken, notification or escalation, and follow-up plan.",Personal opinions about the resident or staff member.,A note that says the issue was handled with no details.,A promise that the facility can guarantee an outcome.,A,"Objective documentation supports continuity, supervision, and regulatory review. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q014,"When Plan of Correction raises uncertainty, what should the administrator do?",multichoice,Use the escalation pathway and label unresolved details as pending verification.,Ignore the uncertainty if the course is already scheduled.,Let learners decide the regulatory answer by vote.,Remove the issue from the record.,A,"Uncertain regulatory or operational questions should be escalated and tracked rather than guessed. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q015,Which choice would create the greatest compliance risk for mandated reporting?,multichoice,"Claiming approval, credit, or guaranteed outcomes before the required facts are issued or verified.",Keeping a dated record of the decision.,Asking Compliance to review the item.,Using a fictional scenario for training.,A,"Premature claims and guarantees can mislead learners, residents, families, or regulators. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q016,What evidence should Moodle retain for an activity about personal rights?,multichoice,"Completion status, timestamp, response or submission, score when applicable, and learner identity evidence.",Only the learner's name.,Only a screenshot kept outside the course.,No evidence if the learner attended live.,A,"Moodle evidence must substantiate duration, participation, assessment, and completion decisions. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q017,How should an instructor respond when a participant answers incorrectly about complaint procedure?,multichoice,Provide corrective feedback tied to the course standard and require retry or remediation if needed.,Mark the learner complete without feedback.,Change the answer key during the session.,Tell the learner the topic is optional.,A,"Active learning requires feedback that corrects misunderstanding and preserves assessment integrity. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q018,Which statement best fits the administrator scope for recordkeeping?,multichoice,"Oversee policy, records, staff direction, communication, and escalation within RCFE responsibilities.",Perform unrelated clinical or legal services beyond the course scope.,Guarantee a resident outcome.,Substitute informal preference for approved procedure.,A,"The RCFE administrator scope is operational oversight and escalation, not overclaiming or unsourced practice. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q019,What should happen before completion credit is issued for public approval claim?,multichoice,"Required duration, participation checks, post-test pass, evaluation when required, and approval metadata must be satisfied.",Completion should issue after opening the first page.,The instructor may waive failed assessments without record.,A certificate may issue while approval is pending.,A,"Completion and certificate release require all required gates and approval metadata. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q020,Why is a fictional scenario appropriate for practicing policy review?,multichoice,"It lets learners apply judgment without exposing resident, staff, facility, or protected information.",It replaces the need for assessment.,It allows learners to ignore facility policy.,It proves government approval.,A,"Fictional scenarios support application practice while protecting privacy and avoiding false approval claims. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q021,Which administrator action best supports Title 22 in RCFE-CETP-001?,multichoice,"Apply the approved procedure, document the action objectively, and escalate when the issue exceeds routine authority.",Wait until a licensing visit identifies the problem.,Rely on memory and avoid creating a record.,Make a public assurance before the facts are verified.,A,"The administrator's role is to use approved controls, create objective evidence, and escalate unresolved risk. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q022,A learner sees a scenario involving Health and Safety Code. What is the safest first step?,multichoice,"Pause to verify the relevant source, resident need, or facility policy before taking action.",Assume the usual practice is always current.,Ask staff to handle it without documentation.,Advertise the course or service as approved before approval is issued.,A,"Source-checking and policy confirmation prevent inaccurate action and premature claims. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q023,Which documentation entry is most defensible for Community Care Licensing?,multichoice,"Objective facts, action taken, notification or escalation, and follow-up plan.",Personal opinions about the resident or staff member.,A note that says the issue was handled with no details.,A promise that the facility can guarantee an outcome.,A,"Objective documentation supports continuity, supervision, and regulatory review. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q024,"When Plan of Correction raises uncertainty, what should the administrator do?",multichoice,Use the escalation pathway and label unresolved details as pending verification.,Ignore the uncertainty if the course is already scheduled.,Let learners decide the regulatory answer by vote.,Remove the issue from the record.,A,"Uncertain regulatory or operational questions should be escalated and tracked rather than guessed. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q025,Which choice would create the greatest compliance risk for mandated reporting?,multichoice,"Claiming approval, credit, or guaranteed outcomes before the required facts are issued or verified.",Keeping a dated record of the decision.,Asking Compliance to review the item.,Using a fictional scenario for training.,A,"Premature claims and guarantees can mislead learners, residents, families, or regulators. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q026,What evidence should Moodle retain for an activity about personal rights?,multichoice,"Completion status, timestamp, response or submission, score when applicable, and learner identity evidence.",Only the learner's name.,Only a screenshot kept outside the course.,No evidence if the learner attended live.,A,"Moodle evidence must substantiate duration, participation, assessment, and completion decisions. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q027,How should an instructor respond when a participant answers incorrectly about complaint procedure?,multichoice,Provide corrective feedback tied to the course standard and require retry or remediation if needed.,Mark the learner complete without feedback.,Change the answer key during the session.,Tell the learner the topic is optional.,A,"Active learning requires feedback that corrects misunderstanding and preserves assessment integrity. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q028,Which statement best fits the administrator scope for recordkeeping?,multichoice,"Oversee policy, records, staff direction, communication, and escalation within RCFE responsibilities.",Perform unrelated clinical or legal services beyond the course scope.,Guarantee a resident outcome.,Substitute informal preference for approved procedure.,A,"The RCFE administrator scope is operational oversight and escalation, not overclaiming or unsourced practice. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q029,What should happen before completion credit is issued for public approval claim?,multichoice,"Required duration, participation checks, post-test pass, evaluation when required, and approval metadata must be satisfied.",Completion should issue after opening the first page.,The instructor may waive failed assessments without record.,A certificate may issue while approval is pending.,A,"Completion and certificate release require all required gates and approval metadata. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q030,Why is a fictional scenario appropriate for practicing policy review?,multichoice,"It lets learners apply judgment without exposing resident, staff, facility, or protected information.",It replaces the need for assessment.,It allows learners to ignore facility policy.,It proves government approval.,A,"Fictional scenarios support application practice while protecting privacy and avoiding false approval claims. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q031,Which administrator action best supports Title 22 in RCFE-CETP-001?,multichoice,"Apply the approved procedure, document the action objectively, and escalate when the issue exceeds routine authority.",Wait until a licensing visit identifies the problem.,Rely on memory and avoid creating a record.,Make a public assurance before the facts are verified.,A,"The administrator's role is to use approved controls, create objective evidence, and escalate unresolved risk. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q032,A learner sees a scenario involving Health and Safety Code. What is the safest first step?,multichoice,"Pause to verify the relevant source, resident need, or facility policy before taking action.",Assume the usual practice is always current.,Ask staff to handle it without documentation.,Advertise the course or service as approved before approval is issued.,A,"Source-checking and policy confirmation prevent inaccurate action and premature claims. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q033,Which documentation entry is most defensible for Community Care Licensing?,multichoice,"Objective facts, action taken, notification or escalation, and follow-up plan.",Personal opinions about the resident or staff member.,A note that says the issue was handled with no details.,A promise that the facility can guarantee an outcome.,A,"Objective documentation supports continuity, supervision, and regulatory review. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",scenario,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q034,"When Plan of Correction raises uncertainty, what should the administrator do?",multichoice,Use the escalation pathway and label unresolved details as pending verification.,Ignore the uncertainty if the course is already scheduled.,Let learners decide the regulatory answer by vote.,Remove the issue from the record.,A,"Uncertain regulatory or operational questions should be escalated and tracked rather than guessed. Course focus: Laws, Regulations, Policies, and Procedural Standards Impacting RCFE.",scenario,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
