lane,moodle_category,course_short_name,course_full_name,delivery,hours_or_contact_hours,status
CNA,CI-CNA-CE,CNA-CE-24,CI Institute of Nursing - CNA Continuing Education (12 Units / 24 Online CE Hours) [Draft / Pending Approval],Online CE only; no clinical hours,24 online CE hours,Draft / Pending Approval
RCFE,CI-RCFE-CETP,RCFE-CETP-001,RCFE Laws Regulations Policies and Procedural Standards [Draft / Pending Approval],Online/instructional setting per filed packet,4 CE hours,Draft / Pending Approval
RCFE,CI-RCFE-CETP,RCFE-CETP-002,Alzheimers Disease and Related Dementias - Person-Centered Care Foundations [Draft / Pending Approval],Online/instructional setting per filed packet,4 CE hours,Draft / Pending Approval
RCFE,CI-RCFE-CETP,RCFE-CETP-003,Alzheimers Disease and Related Dementias - Safety Environment and Documentation [Draft / Pending Approval],Online/instructional setting per filed packet,4 CE hours,Draft / Pending Approval
RCFE,CI-RCFE-CETP,RCFE-CETP-004,Resident Rights Dignity Councils and Abuse Prevention [Draft / Pending Approval],Online/instructional setting per filed packet,2 CE hours,Draft / Pending Approval
RCFE,CI-RCFE-CETP,RCFE-CETP-005,Medication Management in RCFE Operations [Draft / Pending Approval],Online/instructional setting per filed packet,4 CE hours,Draft / Pending Approval
RCFE,CI-RCFE-CETP,RCFE-CETP-006,Admission Retention Reappraisal and Needs and Services Plans [Draft / Pending Approval],Online/instructional setting per filed packet,3 CE hours,Draft / Pending Approval
RCFE,CI-RCFE-CETP,RCFE-CETP-007,Emergency Procedures and Physical Environment Controls [Draft / Pending Approval],Online/instructional setting per filed packet,2 CE hours,Draft / Pending Approval
RCFE,CI-RCFE-CETP,RCFE-CETP-008,Staff Supervision Training Records and Administrator Accountability [Draft / Pending Approval],Online/instructional setting per filed packet,2 CE hours,Draft / Pending Approval
RCFE,CI-RCFE-CETP,RCFE-CETP-009,RCFE Business Operations Records and Claim-Safe Communications [Draft / Pending Approval],Online/instructional setting per filed packet,2 CE hours,Draft / Pending Approval
BRN,CI-BRN-CM,BRN-CM-30,RN Case Management in Home Health - 30 Contact Hours (10 Modules) [Pending BRN CEP Approval],Online CE; contact hours (not CEUs),30 contact hours,Pending BRN CEP approval
