course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
RCFE-CETP-001,RCFE-CETP-001_Q001,"What is the main purpose of an RCFE administrator source check before changing a facility procedure?",multichoice,"To compare the issue with current governing sources and facility policy before action","To replace all facility policies with staff preference","To delay every decision until the next licensing visit","To avoid documenting the reason for the change",A,"A source check helps the administrator connect the decision to current law, regulation, policy, and documented practice before directing staff.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q002,"Which source category most directly supports day-to-day RCFE operational requirements such as resident rights, records, and facility duties?",multichoice,"A marketing brochure written for prospective residents","Title 22, Division 6, Chapter 8 and related RCFE licensing materials","An informal checklist copied from another facility","A staff member's memory of a prior workplace",B,"Title 22 and related licensing materials are core references for RCFE operations; informal materials must be checked against those sources.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q003,"What should a regulatory cross-check note include to support later review?",multichoice,"Only the name of the staff member who found the problem","A statement that the issue was handled with no details","Issue, source reviewed, policy compared, action taken, responsibility, and follow-up","A guarantee that no future problem will occur",C,"A useful cross-check record shows the issue, source review, decision path, and follow-up evidence so the action can be reconstructed.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q004,"Which statement correctly describes the approval status boundary for this course content?",multichoice,"Learners may receive valid CE certificates as soon as they open the course.","Draft wording can be changed to approved when the builder believes the content is ready.","Approval status does not need to appear in learner-facing materials.","The course must remain Draft / Pending CDSS/ACS Approval until official approval metadata is available.",D,"The course may not represent approval or release certificates until the required approval metadata and evidence gates are satisfied.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q005,"Why should learners use fictional details in RCFE policy and complaint scenarios?",multichoice,"Fictional details allow realistic practice without exposing resident, staff, facility, or protected information.","Fictional details remove the need to follow the course instructions.","Fictional details prove that a facility procedure is current.","Fictional details replace required Moodle completion evidence.",A,"Fictionalized practice protects confidentiality while still letting learners demonstrate administrator judgment and documentation skills.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q006,"Which item is a procedural control rather than a broad compliance goal?",multichoice,"Follow all regulations at all times","Maintain good communication with everyone","A dated complaint-log review schedule with owner, location, and follow-up steps","Value resident dignity in general terms",C,"A procedural control turns an expectation into a repeatable action by naming timing, responsibility, record location, and follow-up.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q007,"What is the best reason to retire outdated policy versions after a procedure update?",multichoice,"It lets staff choose whichever policy feels easiest.","It prevents multiple active instructions from causing inconsistent practice.","It removes the need to document the change.","It allows public approval language to be added earlier.",B,"Retiring outdated versions helps staff follow one controlled instruction and helps reviewers understand which procedure was active.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q008,"Which Moodle evidence is most relevant to verifying completion of a required scenario interaction?",multichoice,"A learner's verbal statement that the scenario was interesting","A screenshot saved outside the course with no learner identity","A list of course topics without timestamps","Lesson attempt, selected branch, remediation response if required, timestamp, and completion status",D,"Scenario completion should be supported by Moodle records showing the learner attempt, interaction path, response, time, and completion.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q009,"Which action creates the greatest risk when a procedure has uncertain regulatory interpretation?",multichoice,"Documenting the uncertainty and routing it for review","Using an interim instruction while review is pending","Comparing the procedure with the current source","Changing the procedure from memory and treating it as final",D,"Treating a memory-based change as final can spread an unsupported procedure and weaken the facility's evidence trail.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q010,"What does objective documentation emphasize in an RCFE administrator record?",multichoice,"Observable facts, action taken, notifications, pending items, and follow-up","Personal judgments about motives","Unverified conclusions stated as facts","Details shared beyond the need-to-know purpose",A,"Objective documentation supports resident protection, staff direction, and regulatory review by separating facts from assumptions.",foundational,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q011,"A staff member reports that the complaint poster may be outdated. What response best applies the course source-navigation method?",multichoice,"Tell staff to wait until a resident complains again.","Check the current source and facility policy, document the comparison, update the controlled posting process, and notify staff.","Remove all complaint information from public view until the annual review.","Ask each staff member to vote on which poster should stay up.",B,"The administrator should verify the current requirement, correct the controlled process, communicate the instruction, and preserve a record.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
RCFE-CETP-001,RCFE-CETP-001_Q012,"A facility policy is correct, but staff practice does not match it. What should the administrator focus on next?",multichoice,"Assume the policy is enough because it exists.","Delete the policy to avoid inconsistency.","Identify the practice gap, coach staff, document the instruction, and verify follow-up.","Advertise that the issue has been permanently solved.",C,"When practice differs from policy, the administrator needs supervision, communication, documentation, and verification of the corrected process.",application,"Laws, Regulations, Policies, and Procedural Standards Impacting RCFE"
