module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
M05,M05_Q01_PATIENT_AUTONOMY_CORE,"A capable patient refuses a recommended home health visit after receiving plain-language teaching. What best reflects patient autonomy in RN case management?",multiple_choice,"Respect the informed refusal, document teaching and response, assess safety risk, and arrange appropriate follow-up","Ask the family to approve the visit because the referral was clinically recommended","Document only that the patient was difficult and close the case","Schedule the visit anyway so the patient can reconsider later",A,"Autonomy requires honoring a capable patient's informed choice while still assessing risk, documenting education, and coordinating follow-up within RN scope.",foundational,patient autonomy
M05,M05_Q02_CONSENT_FAMILY_REQUEST,"An adult child asks for detailed medication updates, but the capable patient has only approved sharing appointment times. What should the RN case manager do?",multiple_choice,"Share the medication list because the adult child is involved in transportation","Limit the update to the patient's stated permission, explain that additional details require permission or policy support, and document the boundary","Tell the adult child nothing at all, including general process information","Ask the adult child to persuade the patient to expand permission",B,"The correct action respects the patient's stated information-sharing boundary while allowing limited appropriate communication and documentation.",applied,consent-aware information sharing
M05,M05_Q03_REFUSAL_APPLICATION,"A patient refuses a safety referral because of cost concerns. Which RN case management response is most appropriate?",multiple_choice,"Record the refusal and stop all coordination","Tell the patient the referral is mandatory if they want continued care","Explore the cost concern, provide relevant education, offer available alternatives, document the response, and escalate unresolved safety risk","Ask a family member to accept the referral on the patient's behalf",C,"A refusal should trigger assessment of the reason, education, alternatives, documentation, and escalation when safety remains at risk.",applied,refusal of services
M05,M05_Q04_PRIVACY_PHONE_CALL,"During a phone call, a caller says they are the patient's relative and requests discharge details. What is the safest first action?",multiple_choice,"Provide details if the caller knows the patient's diagnosis","Ask the caller to promise not to misuse the information","Give only medication information because it is important for safety","Verify identity and permission according to policy before sharing patient-specific information",D,"Privacy protection begins with identity and permission verification before patient-specific information is disclosed by phone.",foundational,confidentiality and privacy
M05,M05_Q05_LANGUAGE_ACCESS,"Which action best supports informed participation for a patient with limited English proficiency?",multiple_choice,"Use qualified interpreter services according to policy for assessment, teaching, and care coordination decisions","Ask a minor family member to interpret because the family is available","Speak louder and more slowly without arranging language support","Proceed with the plan if the patient nods during the discussion",A,"Qualified language support helps the patient understand options, ask questions, and participate in decisions without avoidable communication errors.",applied,language access
M05,M05_Q06_CULTURAL_HUMILITY,"Which statement best reflects cultural humility in RN case management?",multiple_choice,"Assume the patient's decision is based on cultural background and document that assumption","Ask respectful questions about the patient's values, preferences, and concerns without stereotyping","Avoid discussing beliefs because they are outside nursing case management","Require the patient to follow the standard plan before exploring preferences",B,"Cultural humility requires curiosity and respect for the individual patient rather than assumptions about a group or belief system.",foundational,cultural humility
M05,M05_Q07_ADVOCACY_WITHOUT_COERCION,"A discharge planner asks the RN to pressure a patient to accept the fastest available service. Which response best demonstrates advocacy without coercion?",multiple_choice,"Tell the patient they must accept the fastest service to avoid delaying discharge","Agree with the discharge planner and avoid discussing other options","Explain the available service, assess patient concerns, identify realistic alternatives, and escalate if resource limits create safety risk","Promise the patient that a preferred service will be approved if they decline the current option",C,"Advocacy supports patient welfare and informed choice by clarifying options and risks without threats, pressure, or unrealistic promises.",advanced,advocacy without coercion
M05,M05_Q08_CONFLICT_OF_INTEREST,"A vendor offers the RN case manager a gift for referring patients to its service. What is the best response?",multiple_choice,"Accept the gift if the vendor provides useful services","Refer only low-risk patients to the vendor to balance the concern","Ask the patient whether accepting the gift is acceptable","Decline the gift, follow conflict-of-interest policy, and use patient need and available options to guide resource discussions",D,"Gifts tied to referrals create a conflict-of-interest risk; the RN should follow policy and keep recommendations based on patient need.",advanced,conflict of interest
M05,M05_Q09_ETHICAL_BOUNDARIES,"Which action best maintains ethical boundaries in RN case management?",multiple_choice,"Avoid personal favors, favoritism, social media contact, and promises outside the RN role","Use personal relationships to speed up referrals when the patient is anxious","Tell the patient which option the RN would choose personally and document that as the plan","Accept family requests to hide information when the family believes it is helpful",A,"Ethical boundaries protect trust by keeping case management professional, truthful, fair, and within RN scope.",foundational,ethical boundaries
M05,M05_Q10_ESCALATION,"A capable patient refuses a service, but the RN identifies immediate safety concerns that cannot be resolved during the call. What should the RN do next?",multiple_choice,"Close the case because the patient has the right to refuse","Document the refusal and escalate through the appropriate provider, supervisory, or urgent pathway according to policy","Ask the family to override the patient's decision","Wait until the next routine review because refusals are not urgent",B,"Escalation is appropriate when patient rights are respected but unresolved safety risk requires timely team or provider action.",applied,ethical escalation
