activity_id,current_module,activity_name,moodle_tool,required_or_optional,certificate_gate_yes_no,estimated_minutes,completion_type,grade_to_pass,evidence_created,restrict_access_dependency,source_reference,notes
M0-PAGE-01,0,Welcome and Course Purpose,Page,Required,Yes,5,View,N/A,View timestamp,None (first activity),Blueprint Sec 6,Entry point
M0-FEED-01,0,Online Cap Acknowledgement,Feedback,Required,Yes,3,Submit,N/A,Acknowledgement timestamp,M0-PAGE-01 viewed,Blueprint Sec 2,Must complete before Module 1
M0-FEED-02,0,PHI Acknowledgement,Feedback,Required,Yes,2,Submit,N/A,Acknowledgement timestamp,M0-FEED-01 complete,Blueprint Sec 2,Non-negotiable
M0-QUIZ-01,0,Orientation Check,Quiz,Required,Yes,5,Pass,100%,Quiz completion,M0-FEED-02 complete,Blueprint Sec 6,Unlocks Module 1
M1-BOOK-01,1,Infection Control Lessons,Book/Lesson,Required,Yes,75,View all chapters,N/A,Chapter completion timestamps,M0-QUIZ-01 complete,Legacy CNA-CE-001; NATP 12/13,6 lessons
M1-QUIZ-01,1,IC Knowledge Checks,Quiz (practice),Required,Yes,10,Attempt,N/A,Attempt records,M1-BOOK-01 complete,Legacy CNA-CE-001,Formative â€” unlimited attempts
M1-QUIZ-02,1,IC Module Quiz,Quiz (graded),Required,Yes,15,Pass,80%,Score and attempts,M1-QUIZ-01 attempted,Legacy CNA-CE-001,Gate for Module 2
M2-BOOK-01,2,Resident Rights Lessons,Lesson,Required,Yes,100,View all pages,N/A,Page completion timestamps,M1-QUIZ-02 pass,NATP Module 17,6 lessons
M2-QUIZ-01,2,RR Knowledge Checks,Quiz (practice),Required,Yes,10,Attempt,N/A,Attempt records,M2-BOOK-01 complete,NATP Module 17,Formative
M2-QUIZ-02,2,RR Module Quiz,Quiz (graded),Required,Yes,15,Pass,80%,Score and attempts,M2-QUIZ-01 attempted,NATP Module 17,Gate for Module 3
M3-BOOK-01,3,Dementia/Communication Lessons,Lesson,Required,Yes,100,View all pages,N/A,Page completion timestamps,M2-QUIZ-02 pass,NATP Module 13/16,6 lessons
