unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
U08,U08_Q01_source_backbone,Which source backbone supports U08 Observation and Charting I: Objective Observation?,multichoice,Module 15 - Observation and Charting,Module 12 - Emergency Procedures,Module 14 - Rehabilitative Nursing,Module 17 - Patient/Resident Abuse,A,U08 focuses on observation terminology and objective charting from Module 15 - Observation and Charting.,easy,Module 15 - Observation and Charting
U08,U08_Q02_dizzy_report,"During morning care a resident states I feel dizzy, grips the bedrail, appears pale, and ate 10 percent of breakfast. What should the CNA do first?",multichoice,Chart that the resident probably has low blood sugar.,Assist the resident to a safe position and promptly report the statement observations and intake to the licensed nurse.,Ignore the statement because dizziness is subjective.,Wait until the end of the shift to see if lunch intake improves.,B,"The safest U08 response combines resident safety, subjective statement, objective observations, measurement, and prompt reporting without diagnosing.",medium,Module 15 - Observation and Charting
U08,U08_Q03_objective_item,Which item is an objective observation appropriate for CNA reporting?,multichoice,The resident is being dramatic.,The resident must be depressed.,The resident gripped the bedrail and appeared pale while standing.,The resident probably needs a medication change.,C,Objective observation describes what was directly seen without motive labels diagnoses or treatment decisions.,easy,Module 15 - Observation and Charting
U08,U08_Q04_best_note,"A fictional resident says My stomach hurts and vomits once after breakfast. Which note is most objective?",multichoice,Resident is sick because breakfast was bad.,Resident always complains after meals.,Resident has food poisoning.,"Resident stated, My stomach hurts, vomited once after breakfast, emesis observed on gown, licensed nurse notified.",D,"The best note separates the resident statement from observed facts and notification, and it avoids diagnosing the cause.",medium,Module 15 - Observation and Charting
U08,U08_Q05_abbreviation_unsure,What should a CNA do when unsure whether an abbreviation is approved for charting?,multichoice,Write the words out or ask according to facility policy before using it.,Invent a short abbreviation so the note is faster.,Use texting shortcuts because the meaning is obvious.,Skip the observation if it cannot be abbreviated.,A,Module 15 emphasizes approved abbreviations; unclear shortcuts can be misread so plain words or policy guidance are safest.,easy,Module 15 - Observation and Charting
U08,U08_Q06_subjective_statement,"In a scenario the resident says I cannot catch my breath but the CNA has not measured respirations yet. How should the statement be classified?",multichoice,Diagnosis,Subjective information,Measurement,Approved abbreviation,B,"A resident's own words are subjective information; they should be reported promptly and documented as stated, not converted into a diagnosis.",easy,Module 15 - Observation and Charting
U08,U08_Q07_measurement_sort,In U08 sorting practice which category best fits ate 10 percent of breakfast?,multichoice,Interpretation,Subjective statement,Measurement,Vague label,C,A meal percentage is a measured or quantified observation that helps make the report more specific.,easy,Module 15 - Observation and Charting
U08,U08_Q08_rewrite_vague,"A CNA wrote Resident was acting weird. Which rewrite best follows objective observation principles?",multichoice,Resident was weird all morning and may be confused.,Resident was difficult and refused to act normal.,Resident is probably getting worse.,"Resident answered questions slowly, stared at breakfast tray for several minutes, stated I feel dizzy, and licensed nurse was notified.",D,"The correct rewrite uses observable behavior, the resident's statement, and notification without labels or diagnosis.",medium,Module 15 - Observation and Charting
U08,U08_Q09_baseline_purpose,Why is comparison to baseline important in CNA observation?,multichoice,It helps identify changes from the resident's usual pattern that should be reported.,It lets the CNA decide the medical diagnosis.,It allows the CNA to skip documentation when a resident is familiar.,It replaces the need to notify the nurse.,A,Baseline comparison strengthens U08 observation because a change in intake mobility mood or appearance may be reportable.,medium,Module 15 - Observation and Charting
U08,U08_Q10_online_ce_guardrail,"Which statement best fits this U08 online CE unit while it is Draft / Pending CDPH Approval?",multichoice,The unit may use real resident chart examples for realism.,The unit provides hands-on documentation validation and clinical hours.,The certificate may be released as soon as this quiz is passed.,The unit uses fictional no-PHI practice and certificate release stays blocked until approval metadata and evidence gates allow it.,D,"U08 is online CE only with fictional practice; no PHI, clinical or simulation credit, hands-on validation, copied forms, approval claim, or certificate release is allowed while gates are pending.",hard,Module 15 - Observation and Charting
