question_id,lane,category,course_unit_module,objective,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,rationale,difficulty,source_reference,sme_review_status,moodle_import_category
RCFE-RCFE-CETP-001-Q01,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Identify the regulatory framework for RCFEs.,mcq,The body of California regulations most directly governing RCFE operations is generally found in:,Title 22 community care licensing regulations,Federal tax code,Local zoning ordinances only,Vehicle code,,A,RCFEs are licensed under California community care licensing regulations (Title 22). Confirm exact citations with SME/legal.,medium,RCFE-CETP-001 LIC 9140 Course Packet; Title 22,SME/legal review required before submission,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q02,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Clarify the renewal-level purpose of the course.,mcq,This RCFE continuing-education refresher is intended for administrators who are:,Seeking initial certification,Renewing/maintaining their administrator certificate through continuing education,Applying for a nursing license,Becoming physicians,,B,"The course is a renewal-level CE refresher, not initial certification.",easy,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q03,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Apply policy/procedure standards.,mcq,An RCFE administrator's policies and procedures should be:,Kept secret from staff,"Written, current, accessible to staff, and consistent with applicable regulations",Optional,Created only after a citation,,B,"Current, accessible, regulation-aligned policies support compliant operations.",easy,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q04,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",State administrator compliance responsibility.,tf,RCFE administrators are responsible for ensuring the facility operates in compliance with applicable licensing regulations.,TRUE,FALSE,,,,TRUE,The administrator is accountable for regulatory compliance.,easy,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q05,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Resolve regulation-vs-practice conflicts.,mcq,"When a regulation and a facility's internal preference conflict, the administrator should:",Follow the internal preference,Follow the applicable regulation and update internal practice,Ignore both,Ask residents to decide,,B,Applicable regulations take precedence over internal preferences.,medium,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q06,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Apply professional conduct during inspections.,mcq,A licensing analyst arrives for an inspection. The administrator should:,Refuse entry,"Cooperate, provide access to required records, and respond professionally",Hide records,Send the analyst away,,B,Administrators cooperate with authorized licensing inspections and provide required access.,medium,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q07,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Explain the purpose of procedural documentation.,mcq,Procedural standards for documentation in an RCFE primarily exist to:,Create unnecessary paperwork,"Demonstrate compliance, support resident safety, and provide an audit-ready record",Replace staff training,Increase fees,,B,"Documentation standards support compliance, safety, and audit readiness.",easy,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q08,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Apply corrective-action principles.,scenario,Scenario: An administrator discovers a facility practice that does not meet a current regulatory standard. The best response is to:,Continue the practice to avoid disruption,"Correct the practice, update policy, document the corrective action, and train staff",Hide it from staff,Wait for a citation,,B,"Proactive correction, documentation, and staff training reflect sound compliance management.",hard,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q09,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Identify posting requirements.,mcq,Posting of the facility license and required notices is generally:,Optional,Required and should be visible/accessible as specified by regulation,Only for new facilities,Prohibited,,B,Required postings must be displayed per regulation. Confirm specifics with SME/legal.,medium,RCFE-CETP-001 LIC 9140 Course Packet; Title 22,SME/legal review required before submission,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q10,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Explain the value of regulatory currency.,mcq,Staying current with regulatory updates is important for an administrator because:,Regulations never change,"Requirements can change, and compliance must reflect current rules",It is only the staff's job,Updates do not affect the facility,,B,Regulations evolve; administrators must keep current to remain compliant.,easy,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q11,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Identify administrator responsibilities.,ms,Which are administrator responsibilities under licensing standards? (Select all that apply.),Maintaining required records,Ensuring staff meet training requirements,Falsifying documents to pass inspection,Protecting resident rights and safety,,A; B; D,"Records, staff training, and resident protection are responsibilities; falsification is prohibited.",medium,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q12,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Define procedural standards.,mcq,Which best describes 'procedural standards'?,Informal preferences,"Defined, consistent steps for carrying out required processes",Optional suggestions,Marketing materials,,B,Procedural standards define consistent steps for required processes.,easy,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q13,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Apply record-retention compliance.,tf,Maintaining required records for the retention period specified by regulation is part of regulatory compliance.,TRUE,FALSE,,,,TRUE,Record retention per regulation is a compliance requirement. Confirm retention periods with SME/legal.,medium,RCFE-CETP-001 LIC 9140 Course Packet; Title 22,SME/legal review required before submission,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q14,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",Apply sound decision-making under regulatory uncertainty.,mcq,"When the administrator is unsure how a specific regulation applies, the most defensible action is to:",Guess and proceed,"Consult the regulation text and seek qualified guidance (e.g., licensing/legal) before acting",Ignore the question,Ask a resident,,B,"Consulting the source and qualified guidance supports compliant, defensible decisions.",medium,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
RCFE-RCFE-CETP-001-Q15,RCFE,RCFE-CETP-001,"RCFE-CETP-001 - Laws, Regulations, Policies, and Procedural Standards (4h)",State the course purpose.,mcq,The overall purpose of this laws-and-regulations refresher is to:,Certify new administrators,Reinforce current knowledge of the legal and procedural framework that governs RCFE operations,Replace licensing inspections,Provide medical training,,B,It reinforces current knowledge of the governing framework at a renewal level.,easy,RCFE-CETP-001 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-001
