unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
"U10","U10_Q01_source_backbone","Which source backbone is used for U10 - Death and Dying?","multichoice","Module 16 - Death and Dying","Module 10 - Vital Signs","An unrelated course format","A copied government form","A","U10 is built from Module 16 - Death and Dying, which covers grief, end-of-life needs, signs of approaching death, comfort measures, hospice, and postmortem boundaries.","easy","Module 16 - Death and Dying"
"U10","U10_Q02_hospice_family_question","Scenario: A hospice resident has long pauses in breathing and a dry mouth. A family member asks if death will happen tonight. What is the safest CNA response?","multichoice","Tell the family death will probably happen tonight.","Acknowledge the concern, report the breathing and dry mouth to the nurse, provide assigned comfort care, and refer prognosis questions to the nurse or hospice contact.","Say the family should stop asking because it upsets staff.","Enter the real resident's details into the online course for advice.","B","The CNA supports privacy and comfort, reports observed changes, and refers prognosis questions; predicting time of death or using PHI exceeds the role and course guardrails.","medium","Module 16 - Death and Dying"
"U10","U10_Q03_scope_fear_at_night","Scenario: A dying resident says, 'I am scared to be alone tonight.' Which action is outside CNA scope?","multichoice","Stay briefly if duties allow and speak calmly.","Report the fear to the nurse so the care team can respond.","Promise that you will arrange medication or sedation so the resident sleeps.","Offer privacy and comfort measures that are in the care plan.","C","CNAs may offer presence, comfort, reporting, and privacy, but medication decisions and promises about treatment are outside CNA scope.","medium","Module 16 - Death and Dying"
"U10","U10_Q04_objective_report_breathing","Which note is the most objective for a resident near end of life?","multichoice","Resident is being dramatic and family is making it worse.","Resident is definitely dying soon.","Family is wrong about what they saw.","Resident slept most of evening; breathing had pauses of about 20 seconds; mouth dry; daughter asked about condition; nurse notified.","D","Objective reporting describes observable facts, resident or family statements, timing, and notification without diagnosis, blame, or prognosis.","medium","Module 16 - Death and Dying"
"U10","U10_Q05_hospice_definition","In this unit, what does hospice mean?","multichoice","A certificate approval number for the course","Care focused on comfort, quality of life, and support for a person with terminal illness and family","A hands-on CNA skill checkoff","A rule that all routine care stops","B","Hospice emphasizes comfort and quality of life while the CNA continues assigned personal care, observation, dignity protection, and reporting.","easy","Module 16 - Death and Dying"
"U10","U10_Q06_cultural_spiritual_practice","Scenario: A family asks for quiet time for a cultural or spiritual practice at the bedside. What should the CNA do first?","multichoice","Remove personal items so the room looks standard.","Tell the family that spiritual practices are not part of care.","Protect privacy as allowed, respect the request within policy, and notify the nurse of any needs or questions.","Ask the family to describe the ritual in the Moodle assignment using real names.","C","End-of-life care includes respect for emotional, spiritual, and cultural needs while maintaining privacy, policy boundaries, and no-PHI course rules.","medium","Module 16 - Death and Dying"
"U10","U10_Q07_reportable_approaching_death","Which cluster of observations near end of life should the CNA report promptly to the nurse?","multichoice","A family member quietly holds the resident's hand.","The room lights are dimmed at the resident's preference.","New restlessness, mottled feet, much less urine, and breathing with long pauses.","A visitor reads softly from a book.","C","Restlessness, mottling, decreased urine output, and changed breathing can occur as death approaches and should be reported as observations within CNA scope.","medium","Module 16 - Death and Dying"
"U10","U10_Q08_postmortem_boundary","Scenario: After a resident appears to have died, what is the safest CNA action?","multichoice","Remove jewelry and medical devices before anyone else enters.","Tell nearby visitors the details so they understand what happened.","Begin postmortem care immediately without direction.","Protect privacy, notify or follow the nurse's direction, and wait for authorized confirmation and policy-guided assignments.","D","The CNA does not pronounce death or independently handle belongings/devices; postmortem care follows facility policy, legal requirements, and licensed direction.","hard","Module 16 - Death and Dying"
"U10","U10_Q09_rights_dying_resident","Which right continues for a dying resident?","multichoice","The right to dignity, privacy, respectful care, comfort support, and choices when possible","The right to have staff predict the exact time of death","The right to have private details shared in class for realism","The right to have all cultural preferences ignored for staff convenience","A","Dying residents retain rights to dignity, privacy, respectful care, comfort, and appropriate choice; prognosis predictions and privacy violations are unsafe.","easy","Module 16 - Death and Dying"
"U10","U10_Q10_comfort_measure_scope","Which comfort measure is generally within the CNA role when assigned in the care plan?","multichoice","Changing the oxygen setting because breathing sounds different","Providing mouth care, repositioning with pillows, smoothing linens, reducing noise, and reporting pain cues","Interpreting a DNR order for the family","Deciding that the resident no longer needs observation","B","Assigned mouth care, positioning support, clean linens, calm environment, and reporting pain cues are CNA comfort measures; changing orders or interpreting legal documents is outside scope.","medium","Module 16 - Death and Dying"
