Project,Module ID,Module Title,Lesson ID,Lesson Title,Card ID,Card Type,Title,app.location,Narration,Transcript,Estimated Seconds,Estimated Word Count,Target Duration Status,Voice Notes,Source Reference,SME Review Flag,Compliance Review Flag,Status
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L00,Welcome and Course Purpose,C01_OVERVIEW,overview,M00 L00 C01 Overview,module.m00.lesson.l00.card.c01_overview,"Welcome and Course Purpose. Estimated time: 5 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.","Welcome and Course Purpose. Estimated time: 5 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.",20,47,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L00,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L00,Welcome and Course Purpose,C02A_DELIVERY,delivery,M00 L00 C02A Delivery,module.m00.lesson.l00.card.c02a_delivery,"Draft / Source Repair Required: canonical source text for Welcome and Course Purpose is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.","Draft / Source Repair Required: canonical source text for Welcome and Course Purpose is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.",17,39,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L00,SME/source repair required,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L00,Welcome and Course Purpose,C03_CHALLENGE,challenge,M00 L00 C03 Challenge,module.m00.lesson.l00.card.c03_challenge,"Scenario challenge for Welcome and Course Purpose: How many total hours of CE/in-service are required for California CNA renewal over two years?

A) 24
B) 48
C) 12
D) 36

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.","Scenario challenge for Welcome and Course Purpose: How many total hours of CE/in-service are required for California CNA renewal over two years?

A) 24
B) 48
C) 12
D) 36

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.",20,47,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L00,Welcome and Course Purpose,C04A_DEBRIEF,debrief,M00 L00 C04A Debrief,module.m00.lesson.l00.card.c04a_debrief,"Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to 48. California requires 48 hours over the two-year renewal period. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.","Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to 48. California requires 48 hours over the two-year renewal period. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.",44,103,Within target,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L01,What This Course Covers and Does Not Cover,C01_OVERVIEW,overview,M00 L01 C01 Overview,module.m00.lesson.l01.card.c01_overview,"What This Course Covers and Does Not Cover. Estimated time: 8 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.","What This Course Covers and Does Not Cover. Estimated time: 8 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.",22,51,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L01,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L01,What This Course Covers and Does Not Cover,C02A_DELIVERY,delivery,M00 L01 C02A Delivery,module.m00.lesson.l01.card.c02a_delivery,"Draft / Source Repair Required: canonical source text for What This Course Covers and Does Not Cover is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.","Draft / Source Repair Required: canonical source text for What This Course Covers and Does Not Cover is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.",19,43,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L01,SME/source repair required,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L01,What This Course Covers and Does Not Cover,C03_CHALLENGE,challenge,M00 L01 C03 Challenge,module.m00.lesson.l01.card.c03_challenge,"Scenario challenge for What This Course Covers and Does Not Cover: What is the maximum number of online CE hours California allows toward CNA renewal?

A) 12
B) 48
C) 24
D) 36

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.","Scenario challenge for What This Course Covers and Does Not Cover: What is the maximum number of online CE hours California allows toward CNA renewal?

A) 12
B) 48
C) 24
D) 36

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.",21,48,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L01,What This Course Covers and Does Not Cover,C04A_DEBRIEF,debrief,M00 L01 C04A Debrief,module.m00.lesson.l01.card.c04a_debrief,"Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to 24. Only 24 of the 48 required hours may be completed online. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.","Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to 24. Only 24 of the 48 required hours may be completed online. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.",45,104,Within target,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L02,Identity Confirmation,C01_OVERVIEW,overview,M00 L02 C01 Overview,module.m00.lesson.l02.card.c01_overview,"Identity Confirmation. Estimated time: 5 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.","Identity Confirmation. Estimated time: 5 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.",20,45,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L02,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L02,Identity Confirmation,C02A_DELIVERY,delivery,M00 L02 C02A Delivery,module.m00.lesson.l02.card.c02a_delivery,"Draft / Source Repair Required: canonical source text for Identity Confirmation is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.","Draft / Source Repair Required: canonical source text for Identity Confirmation is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.",16,37,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L02,SME/source repair required,Compliance/legal/CDPH review required before production.,draft
