question_id,module_number,module_title,question_type,stem,choice_a,choice_b,choice_c,choice_d,correct_answer,rationale,difficulty,source_reference,required_for_final_yes_no,needs_sme_review_yes_no
FE-001,1,Infection Control,MC,"Which of the following is the MOST effective method for preventing the spread of infection in a long-term care facility?",Wearing gloves at all times,Hand hygiene before and after every resident contact,Disinfecting all surfaces hourly,Placing all residents in isolation precautions,B,"Hand hygiene is the single most effective infection prevention measure.",Easy,"Legacy CNA-CE-001; general IC principles",Yes,Yes
FE-002,1,Infection Control,Scenario MC,"A CNA is about to assist a resident with perineal care. The resident has no known infections. Which PPE should the CNA put on?",Gloves only,Gloves and gown,"Gloves, gown, mask, and eye protection",No PPE is needed for routine care,A,"Standard precautions require gloves for body fluid contact. Gown if splashing risk.",Medium,"Legacy CNA-CE-001 PPE guidelines",Yes,Yes
FE-003,2,Resident Rights and Abuse Prevention,MC,"A CNA observes a coworker yelling at and threatening a confused resident. Under California law the CNA:",Should talk to the coworker privately first,Is required to report the incident as a mandated reporter,Should wait to see if it happens again before reporting,Should document it but is not required to report,B,"CNAs are mandated reporters. Verbal abuse must be reported immediately.",Easy,"NATP Module 17 Obj 5",Yes,No
FE-004,2,Resident Rights and Abuse Prevention,Select-All,"Which of the following are types of elder abuse? (Select all that apply.)",Physical abuse,Financial abuse,Involuntary seclusion,All of the above,"A,B,C","Module 17 lists physical, verbal, psychological, financial, sexual, neglect, abandonment, involuntary seclusion, and healthcare fraud.",Easy,"NATP Module 17 Obj 2",Yes,No
FE-005,2,Resident Rights and Abuse Prevention,Scenario MC,"A CNA notices a previously active resident has become withdrawn with unexplained bruises and appears anxious around a staff member. The CNA should:",Ask the resident directly if someone is hurting them,Report observations to the licensed nurse and follow facility reporting procedures immediately,Wait until the next care plan meeting,Confront the staff member about the bruises,B,"Potential abuse signs must be reported immediately through proper channels.",Medium,"NATP Module 17 Obj 2/4/5",Yes,No
FE-006,3,"Dementia Communication Cultural Respect",MC,"When communicating with a resident who has Alzheimer's disease the CNA should:",Speak quickly to hold attention,Use simple short sentences and allow extra time for response,Correct the resident when they say something inaccurate,Avoid eye contact to reduce overstimulation,B,"Simple clear communication with adequate response time benefits Alzheimer's residents.",Easy,"NATP Module 13 Obj 5",Yes,No
FE-007,3,"Dementia Communication Cultural Respect",Scenario MC,"A resident with moderate dementia insists they need to pick up their children from school. Using validation therapy the CNA should:","Tell the resident their children are grown","Acknowledge feelings and redirect gently",Ignore the request and walk away,Call the family,B,"Validation therapy acknowledges feelings and reality; reduces agitation and preserves dignity.",Medium,"NATP Module 13 Obj 5",Yes,No
FE-008,3,"Dementia Communication Cultural Respect",MC,"According to Kubler-Ross the five stages of grief are:","Shock sadness acceptance recovery resolution","Denial anger bargaining depression acceptance","Fear anger guilt depression hope","Confusion isolation bargaining sadness peace",B,"Kubler-Ross: denial anger bargaining depression acceptance.",Easy,"NATP Module 16 Obj 2",Yes,No
FE-009,4,"Mobility Falls Workplace Safety",MC,"Before transferring a resident from bed to wheelchair the CNA should FIRST:",Lock wheelchair brakes and position wheelchair,Begin lifting the resident,Ask another CNA to help regardless of ability,Check the care plan for transfer method and weight-bearing status,D,"Always check the care plan first for transfer method and precautions.",Medium,"NATP Module 14 Obj 5/10",Yes,No
FE-010,4,"Mobility Falls Workplace Safety",MC,"The acronym RACE in fire safety stands for:","Report Activate Contain Evacuate","Rescue Alarm Contain Extinguish/Evacuate","Run Alert Close Exit","Respond Assess Call Evacuate",B,"RACE = Rescue Alarm Contain Extinguish/Evacuate.",Easy,"NATP Module 12",Yes,No
(Remaining 40 questions follow same CSV schema format â€” total file would be 50 rows plus header)

SECTION 8 â€” INTERACTION/CHECK ACTIVITIES
