question_id,lane,category,course_unit_module,objective,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,rationale,difficulty,source_reference,sme_review_status,moodle_import_category
CNA-U01-Q01,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Explain the purpose of vital sign measurement in resident monitoring.,mcq,What is the primary reason a nurse assistant measures and records a resident's vital signs?,To diagnose new medical conditions independently,To provide objective baseline and change data the licensed nurse uses to monitor the resident,To decide which medications the resident should receive,To replace the need for nurse assessment,,B,Nurse assistants collect and report objective data; diagnosis and medication decisions are outside the CNA scope.,easy,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
CNA-U01-Q02,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Identify the standard vital signs.,mcq,Which set best represents the four standard vital signs?,"Temperature, pulse, respirations, blood pressure","Height, weight, intake, output","Pain, mood, appetite, sleep","Pulse, oxygen tank level, room temperature, weight",,A,"The four standard vital signs are temperature, pulse, respirations, and blood pressure; pain is often documented as a fifth measure.",easy,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
CNA-U01-Q03,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Apply reporting rules for abnormal vital sign values.,mcq,A resident's measured value falls outside the range your facility lists as expected for that resident. What is the nurse assistant's correct action?,Adjust the resident's care plan,Record the value and promptly report it to the licensed nurse,Repeat the measurement until it reads normal,Tell the resident not to worry,,B,CNAs accurately record and promptly report out-of-range values; they do not alter care plans or hide abnormal findings.,medium,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
CNA-U01-Q04,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Define common temperature terminology.,mcq,The term 'afebrile' most accurately means the resident:,Has an elevated temperature,Has no fever,Has a rapid pulse,Is dehydrated,,B,Afebrile means without fever; febrile means having a fever.,easy,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
CNA-U01-Q05,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Recognize pain as a subjective observation.,tf,"Pain is a subjective experience, so the resident's own report is the most reliable indicator of pain.",TRUE,FALSE,,,,TRUE,"Pain is subjective; the resident's self-report is the standard, supplemented by observation when the resident cannot communicate.",easy,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
CNA-U01-Q06,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Apply technique factors that affect temperature accuracy.,mcq,"Before measuring an oral temperature, which recent activity would most likely require waiting before measuring?",The resident watched television,The resident drank hot coffee a few minutes ago,The resident read a book,The resident spoke with a visitor,,B,Hot or cold liquids can alter oral temperature; waiting improves accuracy.,medium,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
CNA-U01-Q07,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Use observation of nonverbal pain cues and correct reporting.,scenario,"Scenario: A resident grimaces, guards one arm, and is reluctant to move during care, but says 'I'm fine.' Based on your CNA scope, what is the best action?",Document only the words 'I'm fine' and continue,"Note both the resident's statement and the observed nonverbal signs, and report the discrepancy to the licensed nurse",Tell the resident they must be in pain,Give the resident an over-the-counter pain reliever,,B,"Objective nonverbal signs are reportable observations; CNAs document what they see and hear and report to the nurse, and never administer medication outside scope.",medium,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
CNA-U01-Q08,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Distinguish objective measurable data from other information.,ms,Which of the following are objective observations a nurse assistant can measure or directly observe? (Select all that apply.),Skin color and warmth,The resident's medical diagnosis,Pulse rate,The resident's stated worry about family,,A; C,Skin color/warmth and pulse rate are objective. A diagnosis is determined by a clinician; a stated worry is subjective information the resident reports.,medium,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
CNA-U01-Q09,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Apply accurate documentation practices for vital signs.,mcq,Which statement about documenting vital signs is correct?,Record values from memory at end of shift,"Record values accurately and promptly, with the time taken",Round values to make them look normal,Only record values that seem abnormal,,B,"Accurate, timely documentation with the time of measurement supports safe care and audit-ready records.",easy,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
CNA-U01-Q10,CNA,U01,"U01 - Vital Signs I: Purpose, Terminology, Temperature, Pain Observation",Observe and report pain in residents who cannot self-report.,mcq,"When a resident cannot verbally report pain, the nurse assistant should rely most on:",Assuming the resident has no pain,"Observed behaviors such as facial expression, guarding, restlessness, and changes from baseline",The resident's diagnosis only,Waiting until the next shift,,B,"Behavioral and nonverbal cues, compared to the resident's baseline, guide observation and reporting when self-report is not possible.",medium,CCCCO NATP Module 10 - Vital Signs,SME review recommended,CNA/U01
