unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
U11,U11_Q01_focus,Which statement best describes the focus of U11 - Patient/Resident Abuse I: Recognition and Prevention?,multichoice,Recognize possible abuse and neglect signs while preventing harm through resident rights and respectful boundaries,Conduct private investigations to decide whether abuse legally occurred,Complete hands-on clinical validation for abuse reporting,Release a certificate before approval metadata and evidence gates are verified,A,U11 is mapped to Module 17 and focuses on terminology recognition prevention rights boundaries and CNA scope rather than investigation or certificate release.,easy,Module 17 - Patient/Resident Abuse
U11,U11_Q02_scenario_safety,A resident flinches when a caregiver enters and quietly says Please do not leave me with that person while you notice a new upper-arm bruise. What is the best immediate CNA action?,multichoice,Wait until the end of the shift to see if the resident gives more details,Keep the resident safe as directed and promptly notify the licensed nurse or supervisor with objective facts,Confront the caregiver in front of the resident and demand an explanation,Ask several leading questions until the resident names who caused the bruise,B,The CNA should support immediate safety and promptly report objective observations and resident statements without confronting or interrogating.,medium,Module 17 - Patient/Resident Abuse
U11,U11_Q03_scope_boundary,Which action stays within CNA scope when possible abuse or neglect is recognized?,multichoice,Decide which staff member is guilty before reporting,Ask leading questions to build a case,Report the resident's exact words and observed facts without accusation,Post a warning about the suspected person in a staff chat,C,U11 emphasizes recognition and prevention; CNAs report facts through required channels and do not investigate accuse or disclose confidential concerns inappropriately.,medium,Module 17 - Patient/Resident Abuse
U11,U11_Q04_objective_note,Which note is the most objective for the Resident K scenario?,multichoice,Resident was dramatic and made trouble during care.,Caregiver probably hurt Resident K because the bruise looked suspicious.,Resident is lying because details were unclear.,Resident stated Please do not leave me with that person; flinched when caregiver passed doorway; new purple bruise observed on upper arm; nurse notified.,D,Objective documentation includes the resident statement observable behavior body location and notification without blame diagnosis or unsupported conclusions.,medium,Module 17 - Patient/Resident Abuse
U11,U11_Q05_term_seclusion,What does involuntary seclusion mean in the context of resident abuse prevention?,multichoice,Offering a resident quiet time when the resident requests privacy,Separating or confining a resident against the resident's will or care-plan direction for convenience or control,Closing a door during personal care to protect dignity,Helping a resident attend a scheduled activity with consent,B,Involuntary seclusion is a rights violation involving unwanted separation or confinement rather than appropriate privacy or consent-based care.,easy,Module 17 - Patient/Resident Abuse
U11,U11_Q06_financial_pattern,A resident says their wallet is missing after a staff member repeatedly asked for gift cards and personal passwords. Which concern should the CNA recognize and report?,multichoice,Normal social conversation between staff and resident,A clinical symptom that the CNA should diagnose independently,Possible financial abuse or exploitation,Proof that the resident cannot manage any personal property,C,Missing belongings combined with pressure for money gifts passwords or access is a possible financial abuse pattern requiring objective reporting.,medium,Module 17 - Patient/Resident Abuse
U11,U11_Q07_evidence_gate,What Moodle evidence should be retained for U11 completion?,multichoice,Only a learner's verbal promise that they read the material,Copied government forms and signer binders uploaded into the course,Clinical or simulation attendance hours for abuse recognition,"Overview and Book completion, scenario result, reflection/attestation submission, quiz score, and unit completion status",D,U11 is online CE only and should retain Moodle activity evidence while excluding copied forms signer binders clinical hours and simulation hours.,medium,Module 17 - Patient/Resident Abuse
U11,U11_Q08_verbal_abuse_prevention,During care a coworker mocks a resident and says call light help will be delayed if the resident keeps complaining. What is the best CNA response?,multichoice,Laugh along so the coworker does not become angry,Ignore the comment because no physical injury occurred,Protect the resident's dignity and report the verbal threat or pattern through the required chain,Tell the resident to stop complaining so staff will be nicer,C,Verbal threats humiliation and retaliation risk violate resident dignity; prevention includes speaking up through proper channels and maintaining respectful care.,medium,Module 17 - Patient/Resident Abuse
U11,U11_Q09_recognition_vs_investigation,Which statement best separates recognition from investigation?,multichoice,Recognition means proving what happened before notifying anyone,Investigation is a CNA task whenever the resident trusts the CNA,Recognition allows the CNA to promise secrecy until all details are known,Recognition means noticing and reporting objective concerns; investigation determines cause responsibility and formal findings,D,The CNA's role is to recognize report and document facts while authorized personnel handle investigation findings and formal determinations.,hard,Module 17 - Patient/Resident Abuse
U11,U11_Q10_pending_approval,Which compliance statement is safe for this Draft / Pending CDPH Approval online CE unit?,multichoice,Certificate release remains disabled until approval metadata required evidence and course-level gates are verified,The unit includes hands-on validation of abuse response skills,Real resident examples should be entered for realism,Passing U11 alone authorizes immediate certificate issuance,A,The unit must avoid approval claims PHI clinical or simulation credit and certificate release until approval and evidence requirements are satisfied.,easy,Module 17 - Patient/Resident Abuse
