module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
M04,M04_Q01_FACTUAL_CHARTING,"Which documentation entry best reflects factual RN case management charting?",multiple_choice,"Patient stated the pharmacy delivery did not arrive; RN contacted pharmacy and planned follow-up after delivery confirmation.","Patient is careless with medications and needs better discipline.","Patient probably misunderstood the discharge plan, so RN will wait until next week.","Medication issue handled.",A,"Factual charting identifies the source, barrier, RN action, and follow-up without using judgmental labels or unsupported conclusions.",foundational,factual charting
M04,M04_Q02_TIMELINESS,"What is the safest approach when an RN case manager must document a call after the actual contact occurred?",multiple_choice,"Backdate the note so the record looks complete in chronological order.","Enter a late entry according to policy, identify the event date or time when known, and document only accurate facts.","Wait until every related referral is closed before documenting the original call.","Ask another team member to enter the note if they have more time.",B,"A late entry can be appropriate when it is labeled and factual; backdating or delaying until all follow-up is closed weakens the record.",foundational,timeliness and late entries
M04,M04_Q03_PROVIDER_NOTIFICATION_SCENARIO,"A patient reports new shortness of breath and a rapid weight increase after discharge. Which note best documents RN case management provider notification?",multiple_choice,"Called provider about symptoms.","Told patient to discuss symptoms at the next visit if still present.","At 1015, RN contacted cardiology triage, reported patient-stated shortness of breath and weight increase, requested same-day guidance, and documented callback plan.","Provider notified, no further documentation needed.",C,"The best note includes time, recipient, clinical concern, information shared, requested response, and follow-up plan while staying within RN scope.",applied,provider notification
M04,M04_Q04_ERROR_CORRECTION_SCENARIO,"An RN case manager notices that yesterday's note listed the wrong referral agency. What action best preserves the integrity of the record?",multiple_choice,"Delete the old note and enter a corrected note without mentioning the change.","Ignore the error if the patient received services somewhere else.","Ask the referral agency to correct the RN note.","Use the approved correction or addendum process so the original entry remains visible and the accurate agency is documented.",D,"Corrections should preserve the original record, identify the accurate information, and follow organizational procedure.",applied,error correction
M04,M04_Q05_COPY_FORWARD,"Why is unchecked copy-forward documentation risky in RN case management?",multiple_choice,"It may repeat stale information that no longer reflects referral status, patient risk, or follow-up needs.","It is always prohibited in every documentation system.","It eliminates the need to verify patient statements.","It proves that the prior assessment is still current.",A,"Copy-forward text must be verified and updated because stale information can hide changed risks or completed coordination steps.",foundational,copy-forward risk
M04,M04_Q06_CONFIDENTIALITY_SCENARIO,"A transportation vendor needs pickup details for a fictional patient appointment. Which communication best follows minimum necessary principles?",multiple_choice,"Send the full discharge summary because it contains all possible context.","Provide appointment time, pickup location, mobility needs, and contact instructions needed for transport.","Share the patient's complete medication list so the vendor understands the condition.","Avoid arranging transportation because confidentiality prevents any information sharing.",B,"Minimum necessary communication shares the information needed for the specific coordination purpose and avoids unrelated clinical details.",applied,confidentiality
M04,M04_Q07_PATIENT_EDUCATION,"Which documentation element is most important for showing that patient education was understood?",multiple_choice,"A statement that education was done.","A copied list of all discharge topics.","The patient's teach-back response, barriers, and plan for reinforcement when needed.","A note that the patient was told to read the packet.",C,"Education documentation is stronger when it includes the topic, reason, learner response, understanding check, barriers, and follow-up plan.",foundational,patient education documentation
M04,M04_Q08_REFERRAL_EVIDENCE_SCENARIO,"A note says, ""home health referral completed,"" but the receiving agency has not accepted the patient. What should the RN case manager document?",multiple_choice,"Referral completed because an order exists.","No further documentation until the first visit occurs.","The patient declined all home services.","Referral destination, transmission status, pending acceptance, follow-up plan, and any escalation if services are delayed.",D,"Referral evidence should distinguish ordered, sent, accepted, scheduled, completed, and pending statuses so gaps are visible.",applied,referral evidence
M04,M04_Q09_ATTRIBUTION,"Which phrase best demonstrates attribution in a case management note?",multiple_choice,"Patient's daughter stated the medication delivery did not arrive; RN contacted pharmacy at 1430.","Medication delivery problem fixed.","Family says things are confusing.","Patient has poor support.",A,"Attribution identifies who supplied information and what the RN did with it, making the note more reliable and reviewable.",foundational,attribution
M04,M04_Q10_JUDGMENT_SCENARIO,"A patient reports medication confusion after discharge. Which RN case management response stays within scope and supports documentation?",multiple_choice,"Tell the patient which medication to stop without provider clarification.","Review the discharge list with the patient, identify the confusion, notify the provider pathway, document education, and track the response.","Promise that the provider will approve a new medication schedule.","Document only that the patient had questions.",B,"The RN coordinates, educates, notifies, and follows up without creating independent provider orders or promising outcomes.",applied,RN scope and judgment
