Project,Title,app.location,Narration
CNA Recertification Theory + Clinical Support,M00 L01 C01 Overview,module.m00.lesson.l01.card.c01_overview,"This course is organized around CCCCO Modules 10 through 17. The orientation explains navigation, scope, privacy, and certificate limitations before instruction begins."
CNA Recertification Theory + Clinical Support,M00 L01 C02 01 Delivery,module.m00.lesson.l01.card.c02_01_delivery,"This course is organized around CCCCO Modules 10 through 17. The orientation explains navigation, scope, privacy, and certificate limitations before instruction begins.

This orientation item is the only non-CCCCO instructional exception in the course structure."
CNA Recertification Theory + Clinical Support,M00 L01 C90 Challenge,module.m00.lesson.l01.card.c90_challenge,"What is the safest way to apply this orientation rule: Course Purpose and CCCCO Source Basis?

A) Follow the rule, protect privacy, and stay within CNA scope.
B) Use real resident details if they make the scenario clearer.
C) Ignore the rule that online theory does not create clinical-hour credit.
D) Assume the course issues a production certificate automatically."
CNA Recertification Theory + Clinical Support,M00 L01 C91 Debrief,module.m00.lesson.l01.card.c91_debrief,"The safest response is to follow the rule, protect privacy, and stay within CNA scope. The course does not claim clinical-hour credit or production certificate issuance."
CNA Recertification Theory + Clinical Support,M00 L02 C01 Overview,module.m00.lesson.l02.card.c01_overview,Use your legal learner information only in required identity fields. Do not enter resident or patient identifiers in any activity.
CNA Recertification Theory + Clinical Support,M00 L02 C02 01 Delivery,module.m00.lesson.l02.card.c02_01_delivery,"Use your legal learner information only in required identity fields. Do not enter resident or patient identifiers in any activity.

This orientation item is the only non-CCCCO instructional exception in the course structure."
CNA Recertification Theory + Clinical Support,M00 L02 C90 Challenge,module.m00.lesson.l02.card.c90_challenge,"What is the safest way to apply this orientation rule: Learner Identity and Completion Evidence?

A) Follow the rule, protect privacy, and stay within CNA scope.
B) Use real resident details if they make the scenario clearer.
C) Ignore the rule that online theory does not create clinical-hour credit.
D) Assume the course issues a production certificate automatically."
CNA Recertification Theory + Clinical Support,M00 L02 C91 Debrief,module.m00.lesson.l02.card.c91_debrief,"The safest response is to follow the rule, protect privacy, and stay within CNA scope. The course does not claim clinical-hour credit or production certificate issuance."
CNA Recertification Theory + Clinical Support,M00 L03 C01 Overview,module.m00.lesson.l03.card.c01_overview,"The instructional modules provide online theory only. They do not create clinical-hour credit, hands-on competency validation, or permission to perform unassigned skills."
CNA Recertification Theory + Clinical Support,M00 L03 C02 01 Delivery,module.m00.lesson.l03.card.c02_01_delivery,"The instructional modules provide online theory only. They do not create clinical-hour credit, hands-on competency validation, or permission to perform unassigned skills.

This orientation item is the only non-CCCCO instructional exception in the course structure."
CNA Recertification Theory + Clinical Support,M00 L03 C90 Challenge,module.m00.lesson.l03.card.c90_challenge,"What is the safest way to apply this orientation rule: CNA Scope and No Clinical-Hour Credit?

A) Follow the rule, protect privacy, and stay within CNA scope.
B) Use real resident details if they make the scenario clearer.
C) Ignore the rule that online theory does not create clinical-hour credit.
D) Assume the course issues a production certificate automatically."
CNA Recertification Theory + Clinical Support,M00 L03 C91 Debrief,module.m00.lesson.l03.card.c91_debrief,"The safest response is to follow the rule, protect privacy, and stay within CNA scope. The course does not claim clinical-hour credit or production certificate issuance."
CNA Recertification Theory + Clinical Support,M00 L04 C01 Overview,module.m00.lesson.l04.card.c01_overview,"All scenarios are fictional and de-identified. Never type, upload, or imply real patient, resident, family, facility, or chart information."
CNA Recertification Theory + Clinical Support,M00 L04 C02 01 Delivery,module.m00.lesson.l04.card.c02_01_delivery,"All scenarios are fictional and de-identified. Never type, upload, or imply real patient, resident, family, facility, or chart information.

This orientation item is the only non-CCCCO instructional exception in the course structure."
CNA Recertification Theory + Clinical Support,M00 L04 C90 Challenge,module.m00.lesson.l04.card.c90_challenge,"What is the safest way to apply this orientation rule: No PHI and Safe Practice Scenarios?

A) Follow the rule, protect privacy, and stay within CNA scope.
B) Use real resident details if they make the scenario clearer.
C) Ignore the rule that online theory does not create clinical-hour credit.
D) Assume the course issues a production certificate automatically."
CNA Recertification Theory + Clinical Support,M00 L04 C91 Debrief,module.m00.lesson.l04.card.c91_debrief,"The safest response is to follow the rule, protect privacy, and stay within CNA scope. The course does not claim clinical-hour credit or production certificate issuance."
CNA Recertification Theory + Clinical Support,M00 L05 C01 Overview,module.m00.lesson.l05.card.c01_overview,Certificate production remains disabled pending approval metadata and operational controls. Module checks and the final assessment never reveal answer keys to learners.
