course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
"RCFE-CETP-005","RCFE-CETP-005_Q001","What is the main administrator-level focus of medication management in this RCFE course?","multichoice","Overseeing policies, records, staff training, communication, storage controls, and follow-up within RCFE responsibilities.","Changing medication directions when staff believe a routine is outdated.","Diagnosing whether a resident needs a different medication schedule.","Guaranteeing that every medication-related concern has no resident impact.","A","The course frames medication management as an operational oversight system, not clinical prescribing or diagnosis.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q002","A medication record, pharmacy label, and family statement do not match. What should the administrator emphasize first?","multichoice","Use the family statement because it is the newest verbal information.","Place the discrepancy into the approved clarification process and document interim staff direction.","Erase the older record immediately to prevent confusion.","Ask staff to decide by comparing prior experiences with the resident.","B","Conflicting medication information requires a documented clarification pathway so staff do not rely on informal assumptions.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q003","Which record element most directly supports continuity when a resident refuses medication assistance?","multichoice","A staff opinion about why the resident refused.","A general reminder that refusals sometimes happen.","Objective refusal details, required notification or communication, and planned follow-up.","A statement that the resident is difficult with medication routines.","C","Refusal documentation should preserve facts, communication, and follow-up without judgmental labels.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q004","What does PRN awareness require from the administrator's medication-management system?","multichoice","Staff may independently decide what a PRN instruction means during each shift.","PRN records can be less specific because the medication is not scheduled.","PRN use should be tracked only if a family member asks about it.","Staff need clear parameters, documentation expectations, and an escalation path for unclear instructions.","D","PRN-related controls must help staff stay within role limits and document enough context for continuity.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q005","Which storage audit finding deserves administrator follow-up even if the medication area is locked?","multichoice","A readable label and current record match each other.","A discontinued item is separated, but the disposal documentation is incomplete.","Staff can identify where current records are kept.","The storage area access list matches current authorized roles.","B","Secured storage does not resolve incomplete disposal evidence; the administrator must close the documentation loop.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q006","How should medication-management staff training be documented for audit readiness?","multichoice","By recording the topic, staff participation, process expectations, competency check if used, and follow-up monitoring.","By noting that staff were generally reminded to be careful.","By relying on the administrator's memory that training occurred.","By placing a blank sign-in sheet in the course file.","A","Training evidence should show what behavior was taught and how the administrator will confirm the process is used.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q007","What is the strongest reason to use fictional medication-management scenarios in this course?","multichoice","They allow learners to skip documentation details.","They replace the need for course assessment.","They prove the course has been approved by regulators.","They let learners practice judgment without exposing resident, staff, facility, or protected information.","D","Fictional scenarios support realistic administrator practice while protecting privacy and avoiding approval claims.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q008","Which item is appropriate Moodle evidence for a required medication-management scenario activity?","multichoice","A verbal statement that the learner opened the course.","A private note kept outside Moodle with no timestamp.","The selected branch, remediation response if needed, timestamp, and completion status.","A certificate released before approval metadata is available.","C","Scenario evidence should show participation, decision-making, remediation when required, and completion status.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q009","What boundary should learners maintain when discussing medication management in this course?","multichoice","Stay within administrator oversight and avoid diagnosing, prescribing, or changing medication directions.","Use personal resident stories when they help explain the topic.","Name real medications and facilities to make the assignment more specific.","Treat course completion as public approval for CE credit.","A","The course is designed around RCFE administrator operations and privacy-protective fictional practice.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q010","Which completion rule applies to the RCFE-CETP-005 post-test?","multichoice","Opening the quiz page is enough for completion.","Any score counts if the learner completed all book pages.","The instructor may release a certificate while approval status is pending.","The learner must achieve 80 percent or better, and certificate release remains blocked until all evidence and approval metadata gates are met.","D","The post-test gate is one requirement among several completion and approval controls.","foundational","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q011","A staff member reports that a pharmacy label looks newer than the facility record. What administrator response best applies the course framework?","multichoice","Tell staff to follow whichever instruction appears newer.","Document the discrepancy, use the approved clarification channel, give interim direction not to guess, and schedule follow-up.","Remove the old record without a correction note.","Wait until the next routine audit to avoid disrupting the shift.","B","The administrator controls risk by documenting the mismatch, clarifying through the proper path, and directing staff consistently.","application","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q012","During a PRN documentation review, several entries say only 'given as needed.' What should the administrator do?","multichoice","Accept the entries because PRN instructions are flexible.","Delete the entries so they do not confuse reviewers.","Coach staff on required PRN context, verify the instruction parameters, and audit follow-up entries.","Tell families to track PRN use instead of facility staff.","C","Vague PRN entries do not support continuity; the administrator should train to the specific documentation requirement and verify improvement.","application","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q013","A resident repeatedly declines medication assistance during a week. Which administrator action fits the course expectations?","multichoice","Document the pattern, verify required notifications or communication, review the service plan implications, and follow up under policy.","Ignore the refusals if the resident appears comfortable.","Instruct staff to pressure the resident until the resident accepts assistance.","Record only that the resident is noncompliant.","A","Repeated refusals require objective documentation, respectful communication, and administrator review of follow-up needs.","application","Medication Management"
"RCFE-CETP-005","RCFE-CETP-005_Q014","A new employee missed the medication-management refresher but is scheduled for a shift. What is the best administrator-level control?","multichoice","Allow the employee to rely on coworkers and complete training later.","Confirm role limits, restrict or supervise medication-related tasks as policy requires, complete refresher training, and document the action.","Ask the employee to sign the training sheet without attending.","Remove all medication-management tasks from the course records.","B","Training gaps must be controlled before staff perform tasks that depend on current procedure knowledge.","application","Medication Management"
