cccco_module,cccco_module_title,objective_n,objective,content_v2_refs,app_location_prefixes,coverage_status,evidence_type,depth_status,source_repair_placeholder,assessed_module_checks,final_exam_pool,note
10,Module 10: Vital Signs,1,Define key terminology,M10/L01,module.m10.lesson.l01,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L01; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,2,"Describe what is meant by vital signs, their purpose, and observations made while performing the procedures",M10/L02,module.m10.lesson.l02,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L02; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,3,Discuss the use of temperature as an indicator of body function,M10/L03,module.m10.lesson.l03,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L03; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,4,Describe nursing measures to raise and lower the temperature of the body,M10/L04,module.m10.lesson.l04,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L04; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,5,"Describe the circulatory system as it relates to pulse, and identify the pulse sites",M10/L05,module.m10.lesson.l05,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L05; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,6,"Describe factors that increase and decrease pulse, and the qualities to observe in taking a pulse",M10/L06,module.m10.lesson.l06,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L06; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,7,Define and describe respiration and factors that affect respiratory rate,M10/L07,module.m10.lesson.l07,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L07; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,8,Describe observations to be made when measuring respirations,M10/L08,module.m10.lesson.l08,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L08; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,9,Describe abnormal breathing patterns,M10/L09,module.m10.lesson.l09,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L09; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,10,Describe the process for taking TPR as a combined procedure,M10/L10,module.m10.lesson.l10,Deferred,Theory delivery + source-backed activity + deferred hands-on/facility performance,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,"TPR performance remains a hands-on clinical skill; online theory covers process, observation, reporting, and scope."
10,Module 10: Vital Signs,11,Describe what happens in the circulatory system to produce blood pressure,M10/L11,module.m10.lesson.l11,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L11; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,12,Identify factors that increase or decrease blood pressure,M10/L12,module.m10.lesson.l12,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L12; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,13,Identify parts of the blood pressure equipment,M10/L13,module.m10.lesson.l13,Deferred,Theory delivery + source-backed activity + deferred hands-on/facility performance,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Blood-pressure equipment handling remains a hands-on clinical competency; online theory covers parts and reporting boundaries.
10,Module 10: Vital Signs,14,Discuss the procedure for taking a blood pressure reading,M10/L14,module.m10.lesson.l14,Deferred,Theory delivery + source-backed activity + deferred hands-on/facility performance,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Taking a blood-pressure reading remains a hands-on clinical competency; online theory covers the procedure and reporting boundaries.
10,Module 10: Vital Signs,15,Discuss observation and reporting of patient’s/resident’s pain,M10/L15,module.m10.lesson.l15,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L15; instructional content is generated from CCCCO source text.
10,Module 10: Vital Signs,16,"Record vital signs on chart, graph, and Nursing Assistant notes",M10/L16,module.m10.lesson.l16,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 10: Vital Signs Knowledge Check,True,Mapped directly to CCCCO Module 10 runtime lesson L16; instructional content is generated from CCCCO source text.
