Project,Module ID,Module Title,Lesson ID,Lesson Title,Card ID,Card Type,Title,app.location,Narration,Transcript,Estimated Seconds,Estimated Word Count,Target Duration Status,Voice Notes,Source Reference,SME Review Flag,Compliance Review Flag,Status
"CNA Recertification Theory","m0","Orientation and Course Introduction","m0.l1","Course Welcome","m0.l1.c01","narration","Course Welcome","modules.m0.l1.c01","Welcome to the California CNA Recertification Online Continuing Education Course. This 12-hour course is designed to help you strengthen your skills and knowledge as a certified nursing assistant. You will complete seven content modules covering infection control, resident rights, dementia care, mobility, nutrition, documentation, and a final review with exam. This course provides partial California CNA continuing education credit - online theory hours only. It does not complete your full renewal requirements. Estimated total time is 12 hours. You can pause and resume at any time, and your progress is saved automatically.","Welcome to the California CNA Recertification Online Continuing Education Course. This 12-hour course is designed to help you strengthen your skills and knowledge as a certified nursing assistant. You will complete seven content modules covering infection control, resident rights, dementia care, mobility, nutrition, documentation, and a final review with exam. This course provides partial California CNA continuing education credit - online theory hours only. It does not complete your full renewal requirements. Estimated total time is 12 hours. You can pause and resume at any time, and your progress is saved automatically.",45,94,"Within target","CNA = spell out C-N-A. California = Kal-ih-FORN-ya.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-0-001","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m0","Orientation and Course Introduction","m0.l2","How to Navigate the Course","m0.l2.c01","narration","How to Navigate the Course","modules.m0.l2.c01","To navigate this course, use the menu on the left side of your screen. Each module must be completed in order. You will need to view all lesson pages and pass each module knowledge check at 80 percent or higher before moving to the next module. Your active time in the course is tracked automatically. Do not open the course in multiple tabs at the same time, as this may affect your progress record. If you experience a technical problem, contact your course administrator before starting over.","To navigate this course, use the menu on the left side of your screen. Each module must be completed in order. You will need to view all lesson pages and pass each module knowledge check at 80 percent or higher before moving to the next module. Your active time in the course is tracked automatically. Do not open the course in multiple tabs at the same time, as this may affect your progress record. If you experience a technical problem, contact your course administrator before starting over.",40,85,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-0-002","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m0","Orientation and Course Introduction","m0.l3","Compliance Disclaimers","m0.l3.c01","narration","Compliance Disclaimers","modules.m0.l3.c01","Before you begin, please note three important reminders. First, this course provides partial California CNA continuing education credit - online theory hours only. It does not complete your full renewal requirements. Second, optional clinical support activities in this course are not California renewal clinical-hour credit. Third, your certificate will reflect online CE theory hours only - no clinical hours are included. If you have questions about your full renewal requirements, contact your employer or the California Department of Public Health.","Before you begin, please note three important reminders. First, this course provides partial California CNA continuing education credit - online theory hours only. It does not complete your full renewal requirements. Second, optional clinical support activities in this course are not California renewal clinical-hour credit. Third, your certificate will reflect online CE theory hours only - no clinical hours are included. If you have questions about your full renewal requirements, contact your employer or the California Department of Public Health.",35,78,"Within target","CDPH = spell out C-D-P-H.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-0-003","None identified","Preserve partial-credit and no-clinical-hour language.","Draft"
"CNA Recertification Theory","m1","Infection Control and Prevention","m1.l1","Chain of Infection","m1.l1.c01","narration","Chain of Infection","modules.m1.l1.c01","Infection spreads through a chain that has six links. The links are: the infectious agent - the pathogen that causes disease; the reservoir - where the pathogen lives; the portal of exit - how it leaves the reservoir; the mode of transmission - how it travels; the portal of entry - how it enters a new host; and the susceptible host - the person who becomes infected. Breaking any one of these links stops the infection from spreading. As a CNA, hand hygiene is your most powerful tool for breaking the chain.","Infection spreads through a chain that has six links. The links are: the infectious agent - the pathogen that causes disease; the reservoir - where the pathogen lives; the portal of exit - how it leaves the reservoir; the mode of transmission - how it travels; the portal of entry - how it enters a new host; and the susceptible host - the person who becomes infected. Breaking any one of these links stops the infection from spreading. As a CNA, hand hygiene is your most powerful tool for breaking the chain.",50,91,"Within target","Pathogen = PATH-oh-jen. Reservoir = REZ-er-vwar.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-1-001","Module 1 infection-control SME/source-review required.","TTS planning only; no audio production without authorization.","Draft - SME blocked"
"CNA Recertification Theory","m1","Infection Control and Prevention","m1.l2","Hand Hygiene","m1.l2.c01","narration","Hand Hygiene","modules.m1.l2.c01","Hand hygiene is the single most effective measure for preventing infection. Wash your hands with soap and water for at least 20 seconds at the right moments: before and after resident contact, after removing gloves, after contact with body fluids, before and after eating, and after using the restroom. When hands are not visibly soiled, alcohol-based hand rub is acceptable. Rub all surfaces of the hands and fingers until completely dry - about 20 to 30 seconds. Never skip hand hygiene because you are busy.","Hand hygiene is the single most effective measure for preventing infection. Wash your hands with soap and water for at least 20 seconds at the right moments: before and after resident contact, after removing gloves, after contact with body fluids, before and after eating, and after using the restroom. When hands are not visibly soiled, alcohol-based hand rub is acceptable. Rub all surfaces of the hands and fingers until completely dry - about 20 to 30 seconds. Never skip hand hygiene because you are busy.",45,84,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-1-002","Module 1 infection-control SME/source-review required.","TTS planning only; no audio production without authorization.","Draft - SME blocked"
"CNA Recertification Theory","m1","Infection Control and Prevention","m1.l3","Standard Precautions","m1.l3.c01","narration","Standard Precautions","modules.m1.l3.c01","Standard Precautions apply to every resident, every time - regardless of their diagnosis or how healthy they appear. Treat all blood, body fluids, non-intact skin, and mucous membranes as potentially infectious. Standard Precautions include: hand hygiene, use of appropriate personal protective equipment, safe sharps handling, and proper handling of soiled linen and equipment. They are not optional. They are the baseline for every care interaction.","Standard Precautions apply to every resident, every time - regardless of their diagnosis or how healthy they appear. Treat all blood, body fluids, non-intact skin, and mucous membranes as potentially infectious. Standard Precautions include: hand hygiene, use of appropriate personal protective equipment, safe sharps handling, and proper handling of soiled linen and equipment. They are not optional. They are the baseline for every care interaction.",45,67,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-1-003","Module 1 infection-control SME/source-review required.","TTS planning only; no audio production without authorization.","Draft - SME blocked"
"CNA Recertification Theory","m1","Infection Control and Prevention","m1.l4","PPE Donning and Doffing","m1.l4.c01","narration","PPE Donning and Doffing","modules.m1.l4.c01","Personal protective equipment - or PPE - must be put on and removed in the correct order to prevent contaminating yourself. To put on PPE, the order is: gown first, then mask or respirator, then eye protection or face shield, then gloves last. To remove PPE - which is called doffing - remove gloves first because they are the most contaminated. Then remove eye protection. Then remove the gown. Remove the mask last, handling only the ties or ear loops. Perform hand hygiene immediately after removing PPE.","Personal protective equipment - or PPE - must be put on and removed in the correct order to prevent contaminating yourself. To put on PPE, the order is: gown first, then mask or respirator, then eye protection or face shield, then gloves last. To remove PPE - which is called doffing - remove gloves first because they are the most contaminated. Then remove eye protection. Then remove the gown. Remove the mask last, handling only the ties or ear loops. Perform hand hygiene immediately after removing PPE.",50,84,"Within target","PPE = spell out P-P-E. Doffing = DOFF-ing.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-1-004","Module 1 infection-control SME/source-review required.","TTS planning only; no audio production without authorization.","Draft - SME blocked"
"CNA Recertification Theory","m1","Infection Control and Prevention","m1.l5","Transmission-Based Precautions","m1.l5.c01","narration","Transmission-Based Precautions","modules.m1.l5.c01","When a resident has a known or suspected infectious condition, additional precautions are required beyond Standard Precautions. There are three types. Contact precautions are used for infections spread by direct or indirect contact with the resident or their environment - for example, MRSA or C. difficile. Droplet precautions are used for infections spread by respiratory droplets - for example, influenza. Airborne precautions are used for infections spread through smaller particles that remain in the air for longer periods - for example, active tuberculosis. Know which precautions apply to each resident on your assignment.","When a resident has a known or suspected infectious condition, additional precautions are required beyond Standard Precautions. There are three types. Contact precautions are used for infections spread by direct or indirect contact with the resident or their environment - for example, MRSA or C. difficile. Droplet precautions are used for infections spread by respiratory droplets - for example, influenza. Airborne precautions are used for infections spread through smaller particles that remain in the air for longer periods - for example, active tuberculosis. Know which precautions apply to each resident on your assignment.",50,90,"Within target","MRSA = MER-suh. C. difficile = C. DIF-ih-seel. Tuberculosis = too-BER-kyoo-LOH-sis.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-1-005","Module 1 infection-control SME/source-review required.","TTS planning only; no audio production without authorization.","Draft - SME blocked"
"CNA Recertification Theory","m2","Resident Rights and Abuse Prevention","m2.l1","Resident Rights Foundation","m2.l1.c01","narration","Resident Rights Foundation","modules.m2.l1.c01","Every person living in a long-term care facility has legal rights protected by federal and state law. Key rights include: privacy - the right to personal space and confidentiality; dignity - the right to be treated with respect at all times; choice - the right to make decisions about care and daily life; informed consent - the right to understand and agree to treatments before they happen; freedom from restraints - the right to be free from physical or chemical restraints used for staff convenience; and the right to file grievances without fear of retaliation. As a CNA, you practice these rights in every interaction.","Every person living in a long-term care facility has legal rights protected by federal and state law. Key rights include: privacy - the right to personal space and confidentiality; dignity - the right to be treated with respect at all times; choice - the right to make decisions about care and daily life; informed consent - the right to understand and agree to treatments before they happen; freedom from restraints - the right to be free from physical or chemical restraints used for staff convenience; and the right to file grievances without fear of retaliation. As a CNA, you practice these rights in every interaction.",50,100,"Within target","Grievances = GREE-vun-sez.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-2-001","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m2","Resident Rights and Abuse Prevention","m2.l2","Types of Abuse and Neglect","m2.l2.c01","narration","Types of Abuse and Neglect","modules.m2.l2.c01","There are eight primary types of elder abuse recognized in California. Verbal abuse includes teasing, threats, and name-calling. Physical abuse includes hitting, kicking, shoving, or rough handling. Psychological abuse includes ridiculing, ignoring, or manipulating a resident. Involuntary seclusion means isolating a resident against their will. Abandonment means leaving a resident unattended or failing to plan for their care. Neglect is a pattern of failing to provide care. Sexual abuse includes any unwanted sexual contact or exposure. Financial abuse includes stealing money or using a resident's property without permission. Healthcare fraud - such as falsifying billing - is also recognized.","There are eight primary types of elder abuse recognized in California. Verbal abuse includes teasing, threats, and name-calling. Physical abuse includes hitting, kicking, shoving, or rough handling. Psychological abuse includes ridiculing, ignoring, or manipulating a resident. Involuntary seclusion means isolating a resident against their will. Abandonment means leaving a resident unattended or failing to plan for their care. Neglect is a pattern of failing to provide care. Sexual abuse includes any unwanted sexual contact or exposure. Financial abuse includes stealing money or using a resident's property without permission. Healthcare fraud - such as falsifying billing - is also recognized.",60,101,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-2-002","None identified","TTS planning only; no audio production without authorization.","Draft"
