course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
"RCFE-CETP-002","RCFE-CETP-002_Q001","What is the administrator focus when a resident has dementia-related memory loss?","multichoice","Organizing care around current abilities, preferences, safety needs, staff direction, and documentation.","Diagnosing the dementia type before staff may provide support.","Replacing the service plan with informal caregiver preferences.","Waiting for the resident to request every needed support independently.","A","The course frames dementia care through RCFE operational oversight: individualized support, staff consistency, privacy, and objective records rather than diagnosis.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q002","Which statement best describes person-centered dementia care in an RCFE?","multichoice","A standard script used with every resident who has memory loss.","A way to avoid documenting distress if staff used a kind tone.","Care that uses the resident's history, routines, abilities, and preferences to guide support.","A family-directed plan that overrides resident privacy and current observations.","C","Person-centered care connects the resident's known life patterns and current needs to practical support while preserving rights and dignity.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q003","Why should staff avoid labeling a resident as difficult during care?","multichoice","Because all dementia-related behavior must be ignored unless injury occurs.","Because labels hide observable facts, possible unmet needs, and useful care-planning information.","Because only family members may describe resident behavior.","Because documentation should include staff opinions before observations.","B","Judgmental labels reduce the quality of the record and can steer staff away from identifying triggers, needs, and effective approaches.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q004","Which change should prompt timely review rather than being dismissed as routine dementia?","multichoice","A resident preferring tea with breakfast.","A resident enjoying familiar music during activities.","A resident asking the same question twice in one afternoon.","A sudden change in confusion, mobility, intake, sleep, mood, or behavior pattern.","D","The course emphasizes escalation and follow-up for meaningful or sudden changes because new concerns can be missed when every change is attributed to dementia.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q005","What is a useful first documentation habit when a resident resists personal care?","multichoice","Record the observable behavior, context, staff approach, resident response, and follow-up need.","Record that the resident was non-compliant and close the note.","Skip documentation if the resident later accepts care.","Ask another resident whether the behavior is common.","A","Objective documentation helps the administrator review patterns, coach staff, update the plan, and support continuity across shifts.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q006","What does it mean to interpret behavior as communication?","multichoice","Assume the resident is choosing to challenge staff authority.","Look for possible needs, discomfort, fear, routine mismatch, or environmental triggers behind the behavior.","Use the same redirection activity for every resident.","Stop all care tasks whenever a resident uses a loud voice.","B","Behavior may reflect needs the resident cannot express clearly; administrators guide staff to investigate context before judging intent.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q007","Which staff approach is most likely to support a resident who has difficulty processing instructions?","multichoice","Give several instructions at once so the resident knows the full plan.","Stand behind the resident and begin the task quickly.","Ask a long open-ended question during a noisy shift change.","Approach calmly from the front, use the preferred name, and offer one step at a time.","D","Simple cues, respectful approach, and reduced processing demands are more supportive than rushed or complex communication.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q008","Why can family input be useful in dementia-care planning?","multichoice","It allows families to approve staff schedules.","It replaces the administrator's need to document observations.","It may identify routines, preferences, calming phrases, and history that support individualized care.","It permits unrestricted sharing of resident information with any relative.","C","Family input can enrich the plan when handled through appropriate privacy boundaries and paired with current resident observations.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q009","What is the best reason to include environmental review in a dementia-care response?","multichoice","Lighting, noise, temperature, clutter, signage, and activity level can increase or reduce distress.","The environment matters only after a medication change is ordered.","Environmental details are outside administrator oversight.","Residents with dementia respond identically to every setting.","A","The course links environmental conditions to behavior patterns and administrator responsibility for practical adjustments.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q010","What should the administrator avoid when documenting dementia-related distress?","multichoice","Including time of day and staff approach.","Naming the intervention attempted.","Recording the resident's response to a calm cue.","Using blame-based conclusions instead of observable facts.","D","Blame-based wording weakens dignity and makes it harder to identify patterns, triggers, and person-centered interventions.","foundational","Managing Alzheimer's Disease and Related Dementias"
