question_id,module_number,module_title,question_type,stem,choice_a,choice_b,choice_c,choice_d,correct_answer,rationale,difficulty,source_reference,required_for_final_yes_no,needs_sme_review_yes_no
Q01,1,Infection Control,Multiple choice,The single most effective measure for preventing the spread of infection in a long-term care facility is:,Wearing gloves during all resident contact,Hand hygiene performed correctly and at the right times,Using a surgical mask during all care,Isolating all residents with known infections,B,Hand hygiene is universally recognized as the single most effective infection prevention measure.,Low,General CNA infection control curriculum - NEEDS SME REVIEW (Module 1),Yes,Yes
Q02,1,Infection Control,Multiple choice,Which of the following is the correct order for removing (doffing) PPE after caring for a resident on contact precautions?,Mask then gloves then gown then eye protection,Gloves then eye protection/face shield then gown then mask,Gown then gloves then mask then eye protection,Eye protection then mask then gown then gloves,B,CDC/WHO-recommended doffing removes most contaminated items first (gloves) then eye protection then gown then mask.,Medium,General CNA infection control curriculum - NEEDS SME REVIEW (Module 1),Yes,Yes
Q03,1,Infection Control,Multiple choice,Standard Precautions require you to treat which of the following as potentially infectious?,Only blood and saliva,Only body fluids from residents with known infections,All blood and body fluids and non-intact skin and mucous membranes from all residents,Body fluids only when a resident is visibly ill,C,Standard Precautions apply to all residents at all times regardless of diagnosis.,Low,General CNA infection control curriculum - NEEDS SME REVIEW (Module 1),Yes,Yes
Q04,2,Resident Rights and Abuse Prevention,Multiple choice,A fictional resident Mr. Carter tells you that a staff member has been taking money from his wallet. This is an example of:,Neglect,Verbal abuse,Financial abuse,Psychological abuse,C,Taking money from a resident without consent is financial abuse.,Low,NATP Module 17 (Patient/Resident Abuse) Objective 2B,Yes,No
Q05,2,Resident Rights and Abuse Prevention,Multiple choice,As a California CNA you are a mandated reporter. This means you must report suspected abuse:,Only after you have collected evidence to prove it occurred,Only if you personally witnessed it,Immediately based on reasonable suspicion - certainty is not required,Only after your supervisor gives you permission,C,Mandated reporters must report on reasonable suspicion. Certainty and personal witness are not prerequisites.,Low,NATP Module 17 (Patient/Resident Abuse) Objective 5,Yes,No
Q06,2,Resident Rights and Abuse Prevention,Multiple choice,Leaving a resident unattended or failing to plan for their care is called:,Neglect,Abandonment,Involuntary seclusion,Negligence,B,Abandonment is defined as leaving a resident unattended or failing to plan for their care.,Medium,NATP Module 17 (Patient/Resident Abuse) Objective 2B.5,Yes,No
Q07,2,Resident Rights and Abuse Prevention,Multiple choice,Which of the following BEST describes the correct action when you observe a possible abuse situation?,Investigate the situation yourself before reporting to avoid false accusations,Ensure resident safety then report to the licensed nurse immediately and document objective observations,Wait to see if the behavior happens again before reporting,Report it to a coworker and ask them to handle it,B,The CNA ensures safety then reports immediately and documents objectively. Investigating and waiting are inappropriate.,Low,NATP Module 17 (Patient/Resident Abuse) Objective 3,Yes,No
Q08,2,Resident Rights and Abuse Prevention,Multiple choice,Every resident in a long-term care facility has the right to:,Have their care decisions made only by their physician,Be free from physical or chemical restraints used for staff convenience,Have their personal mail opened and read by staff for safety,Share a room with any resident the facility assigns without discussion,B,Freedom from restraints used for staff convenience is a fundamental resident right.,Low,NATP Module 17 (Patient/Resident Abuse); NATP Module 13 (Long Term Care Residents),Yes,No
Q09,3,Dementia Communication and Cultural Respect,Multiple choice,A resident with Alzheimer's disease repeatedly asks you what day it is even after you have answered. The BEST response is to:,Tell the resident to write it down so they remember,Remind the resident that you already told them,Answer patiently each time - the resident genuinely cannot retain the information,Ignore the question after the second time to discourage repetition,C,Repetitive questioning in dementia is caused by memory loss. Patient repetition is appropriate.,Low,NATP Module 13 (Long Term Care Residents) Objective 5,Yes,No
Q10,3,Dementia Communication and Cultural Respect,Multiple choice,Which of the following is an example of validating a resident's emotion during a dementia care interaction?,Your husband passed away ten years ago. He is not coming home.,You miss your husband. Tell me about him - what was he like?,You need to stop worrying. Everything is fine here.,I already told you - your husband is not coming.,B,Validation acknowledges the emotion and redirects through reminiscence without arguing about facts.,Low,NATP Module 13 (Long Term Care Residents) Objective 5,Yes,No
Q11,3,Dementia Communication and Cultural Respect,Multiple choice,The five stages of grief identified by Elisabeth Kubler-Ross are:,Shock then sadness then anger then fear then recovery,Denial then anger then bargaining then depression then acceptance,Confusion then denial then guilt then mourning then closure,Fear then anger then surrender then peace then hope,B,The Kubler-Ross stages are denial anger bargaining depression and acceptance.,Low,NATP Module 16 (Death and Dying) Objective 2A,Yes,No
Q12,3,Dementia Communication and Cultural Respect,Multiple choice,Which of the following best describes hospice care?,Aggressive treatment aimed at curing the terminal illness,Comfort-focused care for individuals with a life expectancy of six months or less,Care provided only in a hospital setting,A program for residents who have refused all medical treatment,B,Hospice is comfort-focused care for those with a life expectancy of six months or less.,Low,NATP Module 16 (Death and Dying) Objective 3,Yes,No
Q13,3,Dementia Communication and Cultural Respect,Multiple choice,Sudden confusion in a resident who has been mentally stable is most likely a sign of:,Normal progression of dementia,Delirium possibly caused by infection or medication change or dehydration,A personality disorder,The resident being intentionally difficult,B,Sudden-onset confusion in a stable resident is a hallmark of delirium which is often reversible.,Medium,NATP Module 13 (Long Term Care Residents) Objective 5,Yes,No
Q14,4,Mobility Falls and Workplace Safety,Multiple choice,When assisting a resident to ambulate the CNA should stand:,Directly in front of the resident,Slightly behind and to the side of the resident's stronger side,Slightly behind and to the side of the resident's weaker side,Several feet away to encourage independence,C,The CNA stands on the weaker side to support and prevent falls if balance is lost toward that side.,Medium,NATP Module 14 (Rehabilitative/Restorative Care) Objective 5,Yes,No
Q15,4,Mobility Falls and Workplace Safety,Multiple choice,Before performing passive range of motion (PROM) exercises the CNA should:,Force the joint through the full range to maximize effectiveness,Only exercise the resident's stronger limbs,Check the care plan and support the limb above and below the joint being exercised,Ask the resident to perform the movements independently first,C,Check the care plan. Support above and below the joint during PROM. Never force.,Medium,NATP Module 14 (Rehabilitative/Restorative Care) Objectives 6-7,Yes,No
Q16,4,Mobility Falls and Workplace Safety,Multiple choice,To use a fire extinguisher correctly you follow the PASS acronym. What does the A stand for?,Alert,Activate,Aim at the base of the fire,Away from the building,C,PASS = Pull Aim (at base) Squeeze Sweep. Aiming at flames is ineffective.,Low,NATP Module 12 (Emergency Procedures) Objective 1,Yes,No
Q17,4,Mobility Falls and Workplace Safety,Multiple choice,A fictional resident Mrs. Flores is on a two-person assist transfer per her care plan. Your coworker is unavailable. What should you do?,Attempt the transfer carefully and slowly by yourself,Skip the transfer and keep Mrs. Flores in bed until the next shift,Wait for your coworker or find another available staff member before transferring,Ask Mrs. Flores's family member to help you,C,Two-person assist means two trained staff are required. Attempting alone risks injury to both parties.,Medium,NATP Module 14 (Rehabilitative/Restorative Care) Objective 3,Yes,No
Q18,4,Mobility Falls and Workplace Safety,Multiple choice,The primary reason many residents fall while trying to get out of bed unassisted is:,The bed is too low,The resident did not ask for help,Call lights were not answered promptly,The resident was wearing non-skid footwear,C,Many falls occur when residents try to get up because call lights were not answered in a timely manner.,Low,NATP Module 14 (Rehabilitative/Restorative Care) Objective 4,Yes,No
Q19,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,A fictional resident has a diet order for nectar-thick liquids. The CNA should:,Give regular thin liquids if the resident requests them,Ensure all liquids provided are thickened to the nectar consistency as ordered,Only thicken liquids at mealtimes,Skip the thickening if the resident is alert and oriented,B,All liquids must be thickened to the ordered consistency at all times to prevent aspiration.,Low,NATP Module 11 (Nutrition),Yes,No
Q20,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,Which of the following is a sign of dehydration in an older adult?,Increased urine output,Moist mucous membranes,Dark urine and dry mouth,Low blood pressure with clear urine,C,Dark urine and dry mouth are classic signs of dehydration in older adults.,Low,NATP Module 11 (Nutrition),Yes,No
Q21,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,Which pressure injury stage involves full-thickness skin loss with visible bone or tendon?,Stage 1,Stage 2,Stage 3,Stage 4,D,Stage 4 involves full-thickness tissue loss with exposed bone tendon or muscle.,Medium,General CNA curriculum - NEEDS SME REVIEW (no confirmed standalone NATP skin integrity module uploaded),Yes,Yes
Q22,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,Normal oxygen saturation (SpO2) for an adult is:,80-90%,85-95%,95-100%,100% at all times,C,Normal SpO2 is 95-100%. Below 90% is a medical emergency.,Low,NATP Module 10 (Vital Signs),Yes,No
Q23,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,When counting respirations the CNA should:,Tell the resident to breathe normally then count for 30 seconds and multiply by 2,Count chest rises for a full 60 seconds without informing the resident,Use a stethoscope to listen to each breath,Ask the resident to count their own breaths,B,Respirations are counted for a full 60 seconds without the resident's awareness as awareness changes the pattern.,Low,NATP Module 10 (Vital Signs),Yes,No
Q24,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,A fictional resident Mr. Holt begins coughing repeatedly and his voice sounds wet after swallowing. This may indicate:,Normal swallowing sounds,Aspiration or aspiration risk,Heartburn,The food is too cold,B,Wet or gurgling voice and repeated coughing during meals are warning signs of aspiration risk.,Medium,NATP Module 11 (Nutrition),Yes,No
Q25,6,Documentation Change of Condition and Scope,Multiple choice,Which of the following is an objective observation?,The resident looks like she is in pain.,I think the resident may have an infection.,Skin on right heel is red and warm and tender to touch. Measures approximately 3 cm in diameter.,The resident seems agitated today.,C,Objective observations are measurable and sensory. A specific measurement and physical description are objective.,Low,NATP Module 15 (Observation and Charting) Objective 1,Yes,No
Q26,6,Documentation Change of Condition and Scope,Multiple choice,If you make an error on a paper chart you should:,Use white-out and write the correct information over it,Scribble over the error so it is unreadable,Draw a single line through the error then write error then initial and date,Tear out the page and start a new one,C,A single line plus error plus initials plus date is the legally correct paper chart correction method.,Low,NATP Module 15 (Observation and Charting) Objective 3,Yes,No
Q27,6,Documentation Change of Condition and Scope,Multiple choice,A fictional resident Mrs. Rivera was alert this morning. At 2 PM she is confused and cannot state her name. This is a:,Normal afternoon behavior in older adults,Sign of sundowning - no reporting needed until evening,Change of condition requiring immediate reporting to the licensed nurse,Sign that the resident needs more activity,C,New confusion in a previously alert resident is a change of condition requiring immediate nursing notification.,Low,NATP Module 15 (Observation and Charting) Objective 5,Yes,No
Q28,6,Documentation Change of Condition and Scope,Multiple choice,Which of the following tasks is WITHIN the CNA's scope of practice?,Administering a prescribed medication,Inserting a urinary catheter,Measuring and recording a resident's blood pressure,Interpreting a physician's order,C,Measuring and recording vital signs including blood pressure is within CNA scope.,Low,NATP Module 13 (Long Term Care Residents) Objective 1,Yes,No
Q29,6,Documentation Change of Condition and Scope,Multiple choice,The SBAR framework for reporting a change of condition stands for:,Signs then Background then Abnormality then Response,Situation then Background then Assessment then Recommendation,Symptoms then Baseline then Action then Result,Status then Background then Alert then Report,B,SBAR = Situation Background Assessment Recommendation.,Low,NATP Module 15 (Observation and Charting),Yes,No
Q30,6,Documentation Change of Condition and Scope,Multiple choice,A family member asks you to give their father an over-the-counter antacid. You should:,Give it - antacids are not real medications,Explain that all medication administration is outside CNA scope and contact the nurse,Give half the normal dose as a compromise,Check the internet for interactions and then decide,B,All medication administration including OTC is outside CNA scope.,Low,NATP Module 13 (Long Term Care Residents) Objective 1,Yes,No
Q31,2,Resident Rights and Abuse Prevention,Multiple choice,A CNA repeatedly ignores a resident's call light leaving the resident soiled for over two hours on multiple occasions. This is most accurately described as:,A single act of negligence,Neglect,Verbal abuse,Involuntary seclusion,B,A pattern of failing to provide basic care constitutes neglect.,Medium,NATP Module 17 (Patient/Resident Abuse) Objective 2B.6,Yes,No
Q32,3,Dementia Communication and Cultural Respect,Multiple choice,When communicating with a resident who has aphasia after a stroke the CNA should:,Finish the resident's sentences quickly to save time,Speak loudly - aphasia is usually caused by hearing loss,Be patient and allow extra time and use yes/no questions or picture boards,Ask family members to communicate on behalf of the resident at all times,C,Aphasia affects language not hearing. Allow time and use simple questions and alternative communication tools.,Medium,NATP Module 13 (Long Term Care Residents) Objective 4,Yes,No
Q33,3,Dementia Communication and Cultural Respect,Multiple choice,A resident who is actively dying may still be able to hear you. Based on this you should:,Avoid speaking near the resident to prevent distress,Speak softly and calmly - hearing may be the last sense to go,Only speak to the resident if they respond,Speak loudly and clearly to ensure understanding,B,Hearing is believed to be the last sense to go. Speak softly and calmly to provide comfort.,Low,NATP Module 16 (Death and Dying) Objectives 3-4,Yes,No
Q34,4,Mobility Falls and Workplace Safety,Multiple choice,The correct principle of body mechanics when lifting states that you should:,Bend at the waist and use your back muscles,Keep your feet together for stability,Bend at the knees and hips and use your leg muscles,Twist your torso to face the direction you are moving,C,Bending at the knees and using leg muscles not back muscles is the core of proper body mechanics.,Low,NATP Module 14 (Rehabilitative/Restorative Care) Objective 1,Yes,No
Q35,4,Mobility Falls and Workplace Safety,Multiple choice,After a resident falls what is the FIRST action the CNA should take?,Immediately help the resident up off the floor,Complete the incident report,Stay calm and do not move the resident immediately and assess for injury while calling for help,Place the resident in bed and document the fall at end of shift,C,Stay calm. Do not immediately lift the resident. Assess for injury and call for help first.,Medium,NATP Module 14 (Rehabilitative/Restorative Care); NATP Module 12 (Emergency Procedures),Yes,No
Q36,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,The most reliable oral temperature requires waiting how long after hot or cold beverage consumption?,5 minutes,15-30 minutes,1 hour,It is not necessary to wait,B,A 15-30 minute wait after hot or cold intake ensures oral temperature accuracy.,Medium,NATP Module 10 (Vital Signs),Yes,No
Q37,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,When measuring a resident's pulse at the radial artery the CNA should use:,The thumb which is most sensitive,The index and middle fingers,The entire palm for maximum contact,A blood pressure cuff,B,The thumb has its own pulse and should not be used. Index and middle fingers are correct.,Low,NATP Module 10 (Vital Signs),Yes,No
Q38,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,To help prevent pressure injuries the CNA should reposition an immobile resident at minimum every:,30 minutes,1 hour,2 hours,4 hours,C,Standard practice is repositioning at least every 2 hours for immobile residents.,Low,General CNA curriculum - NEEDS SME REVIEW (skin integrity - no confirmed standalone NATP upload),Yes,Yes
Q39,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,A fictional resident's blood pressure is 88/52 at 8 AM compared to her usual 122/76. She states she feels dizzy. You should:,Document it and check again at the next scheduled time,Report the finding to the licensed nurse immediately,Encourage her to drink more coffee to raise the blood pressure,Retake the blood pressure on the other arm and then decide,B,Significant drop from baseline BP with symptoms is a change of condition requiring immediate nursing notification.,Low,NATP Module 10 (Vital Signs),Yes,No
Q40,6,Documentation Change of Condition and Scope,Multiple choice,Delegation in a long-term care facility flows:,From the CNA to the licensed nurse when the CNA is overwhelmed,From the licensed nurse to the CNA,From the facility administrator to any staff member,From one CNA to another CNA of equal rank,B,Delegation flows from the licensed nurse to the CNA. CNAs do not delegate to other CNAs.,Low,NATP Module 13 (Long Term Care Residents) Objective 3,Yes,No
Q41,1,Infection Control,Multiple choice,A resident with active tuberculosis should be placed on which type of precautions?,Contact precautions only,Droplet precautions,Airborne precautions including a negative pressure room and N95 respirator,Standard precautions alone are sufficient,C,Active TB requires airborne precautions including negative-pressure room and N95 respirator.,Medium,General CNA infection control curriculum - NEEDS SME REVIEW (Module 1),Yes,Yes
Q42,2,Resident Rights and Abuse Prevention,Multiple choice,A coworker tells you they saw another staff member slap a resident. Your coworker is afraid to report it. What should you do?,Tell your coworker to stay out of it - it is not your business,Report the information to the licensed nurse immediately as you also have a mandated reporting obligation,Ask the resident if they want you to report it before doing anything,Wait to see if the behavior happens again,B,As a mandated reporter you must report known or suspected abuse that comes to your attention even secondhand.,Medium,NATP Module 17 (Patient/Resident Abuse) Objective 5,Yes,No
Q43,3,Dementia Communication and Cultural Respect,Multiple choice,A fictional resident Mr. Obi asks you to ensure his prayer items are left undisturbed on his nightstand. You should:,Move the items to a safe location where they will not be damaged,Explain that you cannot guarantee the nightstand items during cleaning,Respect his request and ensure staff are aware not to disturb the items,Tell him religious items are not allowed on the nightstand per policy,C,Respecting spiritual and cultural practices is part of holistic person-centered care.,Low,NATP Module 13 (Long Term Care Residents) Objective 2; NATP Module 16 (Death and Dying) Objective 1,Yes,No
Q44,4,Mobility Falls and Workplace Safety,Multiple choice,In restorative care the CNA's primary approach when assisting a resident with dressing is to:,Dress the resident completely to save time,Encourage the resident to dress themselves as much as safely possible providing cueing and setup,Only assist with dressing if the resident specifically requests help,Ask the physical therapist to handle all dressing activities,B,Restorative care supports independence by encouraging the resident to do as much as they can safely.,Low,NATP Module 14 (Rehabilitative/Restorative Care) Objective 8,Yes,No
Q45,5,Nutrition Skin Integrity and Vital Signs,Multiple choice,When feeding a resident who requires assistance the CNA should:,Stand over the resident and feed quickly to complete the task,Sit at the resident's eye level and offer small bites and allow adequate time between bites,Mix all food together to save time,Position the resident at a 30-degree recline for comfort during the meal,B,Proper feeding technique requires sitting at eye level offering small bites and allowing time to reduce aspiration risk.,Low,NATP Module 11 (Nutrition) Objective 4,Yes,No
